book,chapter,verse,tafsir
أستير,1,1,"مقدمة في سفر إستير
أستير,1,2,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,3,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,4,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,5,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,6,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,7,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,8,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,9,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,10,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,11,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,12,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,13,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,14,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,15,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,16,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,17,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,18,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,19,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,20,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,21,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,22,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,23,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,24,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,25,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,26,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,27,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,28,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,29,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,30,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,31,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,32,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,33,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,34,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,35,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,36,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,37,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,38,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,39,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,40,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,41,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
أستير,1,42,"الإصحاح الأول آية1:- وحدث في ايام احشويروش هو احشويروش الذي ملك من الهند الى كوش على مئة وسبع وعشرين كورة.
