book,chapter,verse,tafsir
أمثال,1,1,"مقدمــة 1- الله لم يترك طريق إلا وسلكه حتى يعلمنا. فنجد الكتاب المقدس قد اشتمل على عدة طرق للتعليم:
أمثال,1,2,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,3,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,4,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,5,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,6,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,7,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,8,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,9,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,10,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,11,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,12,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,13,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,14,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,15,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,16,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,17,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,18,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,19,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,20,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,21,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,22,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,23,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,24,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,25,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,26,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,27,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,28,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,29,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,30,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,31,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,32,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,33,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,34,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,35,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,36,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,37,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,38,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,39,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,40,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,41,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,42,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,43,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,44,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,45,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,46,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,47,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,48,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,49,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,50,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,51,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,52,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,53,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,54,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,55,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,56,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,57,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,58,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,59,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,60,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,61,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,62,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,63,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,64,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,65,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,66,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,67,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,68,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,69,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,70,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,71,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,72,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,73,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,74,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,75,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,76,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,77,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,78,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,79,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,80,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,81,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,82,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,83,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,84,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,85,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,86,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,87,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,88,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,89,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,90,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,91,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,92,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,93,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,94,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,95,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,96,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,97,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,98,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,1,99,"الإصحاح الأول آية (1): ""أمثال سليمان بن داود ملك إسرائيل.""
أمثال,2,1,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,2,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,3,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,4,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,5,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,6,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,7,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,8,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,9,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,10,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,11,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,12,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,13,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,14,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,15,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,16,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,17,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,18,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,19,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,20,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,21,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,22,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
أمثال,2,23,"الإصحاح الثاني الآيات (1-5): ""يا ابني أن قبلت كلامي وخبأت وصاياي عندك. حتى تميل آذنك إلى الحكمة وتعطف قلبك على الفهم. أن دعوت المعرفة ورفعت صوتك إلى الفهم. أن طلبتها كالفضة وبحثت عنها كالكنوز. فحينئذ تفهم مخافة الرب وتجد معرفة الله.""
