book,chapter,verse,tafsir
أيوب,1,1,"مقدمة
أيوب,1,2,"الإصحاح الأول
أيوب,1,3,"الإصحاح الأول
أيوب,1,4,"الإصحاح الأول
أيوب,1,5,"الإصحاح الأول
أيوب,1,6,"الإصحاح الأول
أيوب,1,7,"الإصحاح الأول
أيوب,1,8,"الإصحاح الأول
أيوب,1,9,"الإصحاح الأول
أيوب,1,10,"الإصحاح الأول
أيوب,1,11,"الإصحاح الأول
أيوب,1,12,"الإصحاح الأول
أيوب,1,13,"الإصحاح الأول
أيوب,1,14,"الإصحاح الأول
أيوب,1,15,"الإصحاح الأول
أيوب,1,16,"الإصحاح الأول
أيوب,1,17,"الإصحاح الأول
أيوب,1,18,"الإصحاح الأول
أيوب,1,19,"الإصحاح الأول
أيوب,1,20,"الإصحاح الأول
أيوب,1,21,"الإصحاح الأول
أيوب,1,22,"الإصحاح الأول
أيوب,1,23,"الإصحاح الأول
أيوب,1,24,"الإصحاح الأول
أيوب,1,25,"الإصحاح الأول
أيوب,1,26,"الإصحاح الأول
أيوب,1,27,"الإصحاح الأول
أيوب,1,28,"الإصحاح الأول
أيوب,1,29,"الإصحاح الأول
أيوب,1,30,"الإصحاح الأول
أيوب,1,31,"الإصحاح الأول
أيوب,1,32,"الإصحاح الأول
أيوب,1,33,"الإصحاح الأول
أيوب,1,34,"الإصحاح الأول
أيوب,1,35,"الإصحاح الأول
أيوب,1,36,"الإصحاح الأول
أيوب,1,37,"الإصحاح الأول
أيوب,1,38,"الإصحاح الأول
أيوب,1,39,"الإصحاح الأول
أيوب,1,40,"الإصحاح الأول
أيوب,1,41,"الإصحاح الأول
أيوب,1,42,"الإصحاح الأول
أيوب,1,43,"الإصحاح الأول
أيوب,1,44,"الإصحاح الأول
أيوب,1,45,"الإصحاح الأول
أيوب,1,46,"الإصحاح الأول
أيوب,1,47,"الإصحاح الأول
أيوب,1,48,"الإصحاح الأول
أيوب,1,49,"الإصحاح الأول
أيوب,1,50,"الإصحاح الأول
أيوب,1,51,"الإصحاح الأول
أيوب,1,52,"الإصحاح الأول
أيوب,1,53,"الإصحاح الأول
أيوب,1,54,"الإصحاح الأول
أيوب,1,55,"الإصحاح الأول
أيوب,1,56,"الإصحاح الأول
أيوب,1,57,"الإصحاح الأول
أيوب,1,58,"الإصحاح الأول
أيوب,1,59,"الإصحاح الأول
أيوب,1,60,"الإصحاح الأول
أيوب,1,61,"الإصحاح الأول
أيوب,1,62,"الإصحاح الأول
أيوب,1,63,"الإصحاح الأول
أيوب,1,64,"الإصحاح الأول
أيوب,1,65,"الإصحاح الأول
أيوب,1,66,"الإصحاح الأول
أيوب,1,67,"الإصحاح الأول
أيوب,1,68,"الإصحاح الأول
أيوب,1,69,"الإصحاح الأول
أيوب,1,70,"الإصحاح الأول
أيوب,1,71,"الإصحاح الأول
أيوب,1,72,"الإصحاح الأول
أيوب,1,73,"الإصحاح الأول
أيوب,1,74,"الإصحاح الأول
أيوب,1,75,"الإصحاح الأول
أيوب,1,76,"الإصحاح الأول
أيوب,1,77,"الإصحاح الأول
أيوب,1,78,"الإصحاح الأول
أيوب,1,79,"الإصحاح الأول
أيوب,1,80,"الإصحاح الأول
أيوب,1,81,"الإصحاح الأول
أيوب,1,82,"الإصحاح الأول
أيوب,1,83,"الإصحاح الأول
أيوب,1,84,"الإصحاح الأول
أيوب,1,85,"الإصحاح الأول
أيوب,1,86,"الإصحاح الأول
أيوب,1,87,"الإصحاح الأول
أيوب,1,88,"الإصحاح الأول
أيوب,1,89,"الإصحاح الأول
أيوب,1,90,"الإصحاح الأول
أيوب,1,91,"الإصحاح الأول
أيوب,1,92,"الإصحاح الأول
أيوب,1,93,"الإصحاح الأول
أيوب,1,94,"الإصحاح الأول
أيوب,1,95,"الإصحاح الأول
أيوب,1,96,"الإصحاح الأول
أيوب,1,97,"الإصحاح الأول
أيوب,1,98,"الإصحاح الأول
أيوب,1,99,"الإصحاح الأول
أيوب,2,1,"الإصحاح الثاني
أيوب,2,2,"الإصحاح الثاني
أيوب,2,3,"الإصحاح الثاني
أيوب,2,4,"الإصحاح الثاني
أيوب,2,5,"الإصحاح الثاني
أيوب,2,6,"الإصحاح الثاني
أيوب,2,7,"الإصحاح الثاني
أيوب,2,8,"الإصحاح الثاني
أيوب,2,9,"الإصحاح الثاني
أيوب,2,10,"الإصحاح الثاني
أيوب,2,11,"الإصحاح الثاني
أيوب,2,12,"الإصحاح الثاني
أيوب,2,13,"الإصحاح الثاني
أيوب,2,14,"الإصحاح الثاني
أيوب,2,15,"الإصحاح الثاني
أيوب,2,16,"الإصحاح الثاني
أيوب,2,17,"الإصحاح الثاني
أيوب,2,18,"الإصحاح الثاني
أيوب,2,19,"الإصحاح الثاني
أيوب,2,20,"الإصحاح الثاني
أيوب,2,21,"الإصحاح الثاني
أيوب,2,22,"الإصحاح الثاني
أيوب,2,23,"الإصحاح الثاني
أيوب,2,24,"الإصحاح الثاني
أيوب,2,25,"الإصحاح الثاني
أيوب,2,26,"الإصحاح الثاني
أيوب,2,27,"الإصحاح الثاني
أيوب,2,28,"الإصحاح الثاني
أيوب,2,29,"الإصحاح الثاني
أيوب,2,30,"الإصحاح الثاني
أيوب,2,31,"الإصحاح الثاني
أيوب,2,32,"الإصحاح الثاني
أيوب,2,33,"الإصحاح الثاني
أيوب,2,34,"الإصحاح الثاني
أيوب,2,35,"الإصحاح الثاني
أيوب,2,36,"الإصحاح الثاني
أيوب,2,37,"الإصحاح الثاني
أيوب,2,38,"الإصحاح الثاني
أيوب,2,39,"الإصحاح الثاني
أيوب,2,40,"الإصحاح الثاني
أيوب,2,41,"الإصحاح الثاني
أيوب,2,42,"الإصحاح الثاني
أيوب,2,43,"الإصحاح الثاني
أيوب,2,44,"الإصحاح الثاني
أيوب,2,45,"الإصحاح الثاني
أيوب,2,46,"الإصحاح الثاني
أيوب,2,47,"الإصحاح الثاني
أيوب,2,48,"الإصحاح الثاني
أيوب,2,49,"الإصحاح الثاني
أيوب,2,50,"الإصحاح الثاني
أيوب,2,51,"الإصحاح الثاني
أيوب,2,52,"الإصحاح الثاني
أيوب,2,53,"الإصحاح الثاني
أيوب,2,54,"الإصحاح الثاني
أيوب,2,55,"الإصحاح الثاني
أيوب,2,56,"الإصحاح الثاني
أيوب,2,57,"الإصحاح الثاني
أيوب,2,58,"الإصحاح الثاني
أيوب,2,59,"الإصحاح الثاني
أيوب,2,60,"الإصحاح الثاني
أيوب,2,61,"الإصحاح الثاني
أيوب,2,62,"الإصحاح الثاني
أيوب,2,63,"الإصحاح الثاني
أيوب,2,64,"الإصحاح الثاني
أيوب,2,65,"الإصحاح الثاني
أيوب,2,66,"الإصحاح الثاني
أيوب,2,67,"الإصحاح الثاني
أيوب,2,68,"الإصحاح الثاني
أيوب,2,69,"الإصحاح الثاني
أيوب,2,70,"الإصحاح الثاني
أيوب,2,71,"الإصحاح الثاني
أيوب,2,72,"الإصحاح الثاني
أيوب,2,73,"الإصحاح الثاني
أيوب,2,74,"الإصحاح الثاني
أيوب,2,75,"الإصحاح الثاني
أيوب,2,76,"الإصحاح الثاني
أيوب,2,77,"الإصحاح الثاني
أيوب,2,78,"الإصحاح الثاني
أيوب,2,79,"الإصحاح الثاني
أيوب,2,80,"الإصحاح الثاني
أيوب,2,81,"الإصحاح الثاني
أيوب,2,82,"الإصحاح الثاني
أيوب,2,83,"الإصحاح الثاني
أيوب,2,84,"الإصحاح الثاني
أيوب,2,85,"الإصحاح الثاني
أيوب,2,86,"الإصحاح الثاني
أيوب,2,87,"الإصحاح الثاني
أيوب,2,88,"الإصحاح الثاني
أيوب,2,89,"الإصحاح الثاني
أيوب,2,90,"الإصحاح الثاني
أيوب,2,91,"الإصحاح الثاني
أيوب,2,92,"الإصحاح الثاني
أيوب,2,93,"الإصحاح الثاني
أيوب,2,94,"الإصحاح الثاني
أيوب,2,95,"الإصحاح الثاني
أيوب,2,96,"الإصحاح الثاني
أيوب,2,97,"الإصحاح الثاني
أيوب,2,98,"الإصحاح الثاني
أيوب,2,99,"الإصحاح الثاني
أيوب,3,1,"الإصحاح الثالث
أيوب,3,2,"الإصحاح الثالث
أيوب,3,3,"الإصحاح الثالث
أيوب,3,4,"الإصحاح الثالث
أيوب,3,5,"الإصحاح الثالث
أيوب,3,6,"الإصحاح الثالث
أيوب,3,7,"الإصحاح الثالث
أيوب,3,8,"الإصحاح الثالث
أيوب,3,9,"الإصحاح الثالث
أيوب,3,10,"الإصحاح الثالث
أيوب,3,11,"الإصحاح الثالث
أيوب,3,12,"الإصحاح الثالث
أيوب,3,13,"الإصحاح الثالث
أيوب,3,14,"الإصحاح الثالث
أيوب,3,15,"الإصحاح الثالث
أيوب,3,16,"الإصحاح الثالث
أيوب,3,17,"الإصحاح الثالث
أيوب,3,18,"الإصحاح الثالث
أيوب,3,19,"الإصحاح الثالث
أيوب,3,20,"الإصحاح الثالث
أيوب,3,21,"الإصحاح الثالث
أيوب,3,22,"الإصحاح الثالث
أيوب,3,23,"الإصحاح الثالث
أيوب,3,24,"الإصحاح الثالث
أيوب,3,25,"الإصحاح الثالث
أيوب,3,26,"الإصحاح الثالث
أيوب,3,27,"الإصحاح الثالث
أيوب,3,28,"الإصحاح الثالث
أيوب,3,29,"الإصحاح الثالث
أيوب,3,30,"الإصحاح الثالث
أيوب,3,31,"الإصحاح الثالث
أيوب,3,32,"الإصحاح الثالث
أيوب,3,33,"الإصحاح الثالث
أيوب,3,34,"الإصحاح الثالث
أيوب,3,35,"الإصحاح الثالث
أيوب,3,36,"الإصحاح الثالث
أيوب,3,37,"الإصحاح الثالث
أيوب,3,38,"الإصحاح الثالث
أيوب,3,39,"الإصحاح الثالث
أيوب,3,40,"الإصحاح الثالث
أيوب,3,41,"الإصحاح الثالث
أيوب,3,42,"الإصحاح الثالث
أيوب,3,43,"الإصحاح الثالث
أيوب,3,44,"الإصحاح الثالث
أيوب,3,45,"الإصحاح الثالث
أيوب,3,46,"الإصحاح الثالث
أيوب,3,47,"الإصحاح الثالث
أيوب,3,48,"الإصحاح الثالث
أيوب,3,49,"الإصحاح الثالث
أيوب,3,50,"الإصحاح الثالث
أيوب,3,51,"الإصحاح الثالث
أيوب,3,52,"الإصحاح الثالث
أيوب,3,53,"الإصحاح الثالث
أيوب,3,54,"الإصحاح الثالث
أيوب,3,55,"الإصحاح الثالث
أيوب,3,56,"الإصحاح الثالث
أيوب,3,57,"الإصحاح الثالث
أيوب,3,58,"الإصحاح الثالث
أيوب,3,59,"الإصحاح الثالث
أيوب,3,60,"الإصحاح الثالث
أيوب,3,61,"الإصحاح الثالث
أيوب,3,62,"الإصحاح الثالث
أيوب,3,63,"الإصحاح الثالث
أيوب,3,64,"الإصحاح الثالث
أيوب,3,65,"الإصحاح الثالث
أيوب,3,66,"الإصحاح الثالث
أيوب,3,67,"الإصحاح الثالث
أيوب,3,68,"الإصحاح الثالث
أيوب,3,69,"الإصحاح الثالث
أيوب,3,70,"الإصحاح الثالث
أيوب,3,71,"الإصحاح الثالث
أيوب,3,72,"الإصحاح الثالث
أيوب,3,73,"الإصحاح الثالث
أيوب,3,74,"الإصحاح الثالث
أيوب,3,75,"الإصحاح الثالث
أيوب,3,76,"الإصحاح الثالث
أيوب,3,77,"الإصحاح الثالث
أيوب,3,78,"الإصحاح الثالث
أيوب,3,79,"الإصحاح الثالث
أيوب,3,80,"الإصحاح الثالث
أيوب,3,81,"الإصحاح الثالث
أيوب,3,82,"الإصحاح الثالث
أيوب,3,83,"الإصحاح الثالث
أيوب,3,84,"الإصحاح الثالث
أيوب,3,85,"الإصحاح الثالث
أيوب,3,86,"الإصحاح الثالث
أيوب,3,87,"الإصحاح الثالث
أيوب,3,88,"الإصحاح الثالث
أيوب,3,89,"الإصحاح الثالث
أيوب,3,90,"الإصحاح الثالث
أيوب,3,91,"الإصحاح الثالث
أيوب,3,92,"الإصحاح الثالث
أيوب,3,93,"الإصحاح الثالث
أيوب,3,94,"الإصحاح الثالث
أيوب,3,95,"الإصحاح الثالث
أيوب,3,96,"الإصحاح الثالث
أيوب,3,97,"الإصحاح الثالث
أيوب,3,98,"الإصحاح الثالث
أيوب,3,99,"الإصحاح الثالث
أيوب,4,1,"الإصحاح الرابع
أيوب,4,2,"الإصحاح الرابع
أيوب,4,3,"الإصحاح الرابع
أيوب,4,4,"الإصحاح الرابع
أيوب,4,5,"الإصحاح الرابع
أيوب,4,6,"الإصحاح الرابع
أيوب,4,7,"الإصحاح الرابع
أيوب,4,8,"الإصحاح الرابع
أيوب,4,9,"الإصحاح الرابع
أيوب,4,10,"الإصحاح الرابع
أيوب,4,11,"الإصحاح الرابع
أيوب,4,12,"الإصحاح الرابع
أيوب,4,13,"الإصحاح الرابع
أيوب,4,14,"الإصحاح الرابع
أيوب,4,15,"الإصحاح الرابع
أيوب,4,16,"الإصحاح الرابع
أيوب,4,17,"الإصحاح الرابع
أيوب,4,18,"الإصحاح الرابع
أيوب,4,19,"الإصحاح الرابع
أيوب,4,20,"الإصحاح الرابع
أيوب,4,21,"الإصحاح الرابع
أيوب,4,22,"الإصحاح الرابع
أيوب,4,23,"الإصحاح الرابع
أيوب,4,24,"الإصحاح الرابع
أيوب,4,25,"الإصحاح الرابع
أيوب,4,26,"الإصحاح الرابع
أيوب,4,27,"الإصحاح الرابع
أيوب,4,28,"الإصحاح الرابع
أيوب,4,29,"الإصحاح الرابع
أيوب,4,30,"الإصحاح الرابع
أيوب,4,31,"الإصحاح الرابع
أيوب,4,32,"الإصحاح الرابع
أيوب,4,33,"الإصحاح الرابع
أيوب,4,34,"الإصحاح الرابع
أيوب,4,35,"الإصحاح الرابع
أيوب,4,36,"الإصحاح الرابع
أيوب,4,37,"الإصحاح الرابع
