book,chapter,verse,tafsir
تيموثاوس ثانية,1,2,"الإصحاح الأول
تيموثاوس ثانية,1,3,"الإصحاح الأول
تيموثاوس ثانية,1,4,"الإصحاح الأول
تيموثاوس ثانية,1,5,"الإصحاح الأول
تيموثاوس ثانية,1,6,"الإصحاح الأول
تيموثاوس ثانية,1,7,"الإصحاح الأول
تيموثاوس ثانية,1,8,"الإصحاح الأول
تيموثاوس ثانية,1,9,"الإصحاح الأول
تيموثاوس ثانية,1,10,"الإصحاح الأول
تيموثاوس ثانية,1,11,"الإصحاح الأول
تيموثاوس ثانية,1,12,"الإصحاح الأول
تيموثاوس ثانية,1,13,"الإصحاح الأول
تيموثاوس ثانية,1,14,"الإصحاح الأول
تيموثاوس ثانية,1,15,"الإصحاح الأول
تيموثاوس ثانية,1,16,"الإصحاح الأول
تيموثاوس ثانية,1,17,"الإصحاح الأول
تيموثاوس ثانية,1,18,"الإصحاح الأول
تيموثاوس ثانية,1,19,"الإصحاح الأول
تيموثاوس ثانية,1,20,"الإصحاح الأول
تيموثاوس ثانية,1,21,"الإصحاح الأول
تيموثاوس ثانية,1,22,"الإصحاح الأول
تيموثاوس ثانية,1,23,"الإصحاح الأول
تيموثاوس ثانية,1,24,"الإصحاح الأول
تيموثاوس ثانية,1,25,"الإصحاح الأول
تيموثاوس ثانية,1,26,"الإصحاح الأول
تيموثاوس ثانية,1,27,"الإصحاح الأول
تيموثاوس ثانية,1,28,"الإصحاح الأول
تيموثاوس ثانية,1,29,"الإصحاح الأول
تيموثاوس ثانية,1,30,"الإصحاح الأول
تيموثاوس ثانية,1,31,"الإصحاح الأول
تيموثاوس ثانية,1,32,"الإصحاح الأول
تيموثاوس ثانية,1,33,"الإصحاح الأول
تيموثاوس ثانية,1,34,"الإصحاح الأول
تيموثاوس ثانية,1,35,"الإصحاح الأول
تيموثاوس ثانية,1,36,"الإصحاح الأول
تيموثاوس ثانية,1,37,"الإصحاح الأول
