book,chapter,verse,tafsir
حزقيال,1,1,"المقدمة
حزقيال,1,2,"الإصحاح الأول
حزقيال,1,3,"الإصحاح الأول
حزقيال,1,4,"الإصحاح الأول
حزقيال,1,5,"الإصحاح الأول
حزقيال,1,6,"الإصحاح الأول
حزقيال,1,7,"الإصحاح الأول
حزقيال,1,8,"الإصحاح الأول
حزقيال,1,9,"الإصحاح الأول
حزقيال,1,10,"الإصحاح الأول
حزقيال,1,11,"الإصحاح الأول
حزقيال,1,12,"الإصحاح الأول
حزقيال,1,13,"الإصحاح الأول
حزقيال,1,14,"الإصحاح الأول
حزقيال,1,15,"الإصحاح الأول
حزقيال,1,16,"الإصحاح الأول
حزقيال,1,17,"الإصحاح الأول
حزقيال,1,18,"الإصحاح الأول
حزقيال,1,19,"الإصحاح الأول
حزقيال,1,20,"الإصحاح الأول
حزقيال,1,21,"الإصحاح الأول
حزقيال,1,22,"الإصحاح الأول
حزقيال,1,23,"الإصحاح الأول
حزقيال,1,24,"الإصحاح الأول
حزقيال,1,25,"الإصحاح الأول
حزقيال,1,26,"الإصحاح الأول
حزقيال,1,27,"الإصحاح الأول
حزقيال,1,28,"الإصحاح الأول
حزقيال,1,29,"الإصحاح الأول
حزقيال,1,30,"الإصحاح الأول
حزقيال,1,31,"الإصحاح الأول
حزقيال,1,32,"الإصحاح الأول
حزقيال,1,33,"الإصحاح الأول
حزقيال,1,34,"الإصحاح الأول
حزقيال,1,35,"الإصحاح الأول
حزقيال,1,36,"الإصحاح الأول
حزقيال,1,37,"الإصحاح الأول
حزقيال,1,38,"الإصحاح الأول
حزقيال,1,39,"الإصحاح الأول
حزقيال,1,40,"الإصحاح الأول
حزقيال,1,41,"الإصحاح الأول
حزقيال,1,42,"الإصحاح الأول
حزقيال,1,43,"الإصحاح الأول
حزقيال,1,44,"الإصحاح الأول
حزقيال,1,45,"الإصحاح الأول
حزقيال,1,46,"الإصحاح الأول
حزقيال,1,47,"الإصحاح الأول
حزقيال,1,48,"الإصحاح الأول
حزقيال,1,49,"الإصحاح الأول
حزقيال,1,50,"الإصحاح الأول
حزقيال,1,51,"الإصحاح الأول
حزقيال,1,52,"الإصحاح الأول
حزقيال,1,53,"الإصحاح الأول
حزقيال,1,54,"الإصحاح الأول
حزقيال,1,55,"الإصحاح الأول
حزقيال,1,56,"الإصحاح الأول
حزقيال,1,57,"الإصحاح الأول
حزقيال,1,58,"الإصحاح الأول
حزقيال,1,59,"الإصحاح الأول
حزقيال,1,60,"الإصحاح الأول
حزقيال,1,61,"الإصحاح الأول
حزقيال,1,62,"الإصحاح الأول
حزقيال,1,63,"الإصحاح الأول
حزقيال,1,64,"الإصحاح الأول
حزقيال,1,65,"الإصحاح الأول
حزقيال,1,66,"الإصحاح الأول
حزقيال,1,67,"الإصحاح الأول
حزقيال,1,68,"الإصحاح الأول
حزقيال,1,69,"الإصحاح الأول
حزقيال,1,70,"الإصحاح الأول
حزقيال,1,71,"الإصحاح الأول
حزقيال,1,72,"الإصحاح الأول
حزقيال,1,73,"الإصحاح الأول
حزقيال,1,74,"الإصحاح الأول
حزقيال,1,75,"الإصحاح الأول
حزقيال,1,76,"الإصحاح الأول
حزقيال,1,77,"الإصحاح الأول
حزقيال,1,78,"الإصحاح الأول
حزقيال,1,79,"الإصحاح الأول
حزقيال,1,80,"الإصحاح الأول
حزقيال,1,81,"الإصحاح الأول
حزقيال,1,82,"الإصحاح الأول
حزقيال,1,83,"الإصحاح الأول
حزقيال,1,84,"الإصحاح الأول
حزقيال,1,85,"الإصحاح الأول
حزقيال,1,86,"الإصحاح الأول
حزقيال,1,87,"الإصحاح الأول
حزقيال,1,88,"الإصحاح الأول
حزقيال,1,89,"الإصحاح الأول
حزقيال,1,90,"الإصحاح الأول
حزقيال,1,91,"الإصحاح الأول
حزقيال,1,92,"الإصحاح الأول
حزقيال,1,93,"الإصحاح الأول
حزقيال,1,94,"الإصحاح الأول
حزقيال,1,95,"الإصحاح الأول
حزقيال,1,96,"الإصحاح الأول
حزقيال,1,97,"الإصحاح الأول
حزقيال,1,98,"الإصحاح الأول
حزقيال,1,99,"الإصحاح الأول
حزقيال,2,1,"الإصحاح الثانى
حزقيال,2,2,"الإصحاح الثانى
حزقيال,2,3,"الإصحاح الثانى
حزقيال,2,4,"الإصحاح الثانى
حزقيال,2,5,"الإصحاح الثانى
حزقيال,2,6,"الإصحاح الثانى
حزقيال,2,7,"الإصحاح الثانى
