book,chapter,verse,tafsir
خروج,1,1,"المقدمة
خروج,1,2,"الإصحاح الأول
خروج,1,3,"الإصحاح الأول
خروج,1,4,"الإصحاح الأول
خروج,1,5,"الإصحاح الأول
خروج,1,6,"الإصحاح الأول
خروج,1,7,"الإصحاح الأول
خروج,1,8,"الإصحاح الأول
خروج,1,9,"الإصحاح الأول
خروج,1,10,"الإصحاح الأول
خروج,1,11,"الإصحاح الأول
خروج,1,12,"الإصحاح الأول
خروج,1,13,"الإصحاح الأول
خروج,1,14,"الإصحاح الأول
خروج,1,15,"الإصحاح الأول
خروج,1,16,"الإصحاح الأول
خروج,1,17,"الإصحاح الأول
خروج,1,18,"الإصحاح الأول
خروج,1,19,"الإصحاح الأول
خروج,1,20,"الإصحاح الأول
خروج,1,21,"الإصحاح الأول
خروج,1,22,"الإصحاح الأول
خروج,1,23,"الإصحاح الأول
خروج,1,24,"الإصحاح الأول
خروج,1,25,"الإصحاح الأول
خروج,1,26,"الإصحاح الأول
خروج,1,27,"الإصحاح الأول
خروج,1,28,"الإصحاح الأول
خروج,1,29,"الإصحاح الأول
خروج,1,30,"الإصحاح الأول
خروج,1,31,"الإصحاح الأول
خروج,1,32,"الإصحاح الأول
خروج,1,33,"الإصحاح الأول
خروج,1,34,"الإصحاح الأول
خروج,1,35,"الإصحاح الأول
خروج,1,36,"الإصحاح الأول
خروج,1,37,"الإصحاح الأول
خروج,1,38,"الإصحاح الأول
خروج,1,39,"الإصحاح الأول
خروج,1,40,"الإصحاح الأول
خروج,1,41,"الإصحاح الأول
خروج,1,42,"الإصحاح الأول
خروج,1,43,"الإصحاح الأول
خروج,1,44,"الإصحاح الأول
خروج,1,45,"الإصحاح الأول
خروج,1,46,"الإصحاح الأول
خروج,1,47,"الإصحاح الأول
خروج,1,48,"الإصحاح الأول
خروج,1,49,"الإصحاح الأول
خروج,1,50,"الإصحاح الأول
خروج,1,51,"الإصحاح الأول
خروج,1,52,"الإصحاح الأول
خروج,1,53,"الإصحاح الأول
خروج,1,54,"الإصحاح الأول
خروج,1,55,"الإصحاح الأول
خروج,1,56,"الإصحاح الأول
خروج,1,57,"الإصحاح الأول
خروج,1,58,"الإصحاح الأول
خروج,1,59,"الإصحاح الأول
خروج,1,60,"الإصحاح الأول
خروج,1,61,"الإصحاح الأول
خروج,1,62,"الإصحاح الأول
خروج,1,63,"الإصحاح الأول
خروج,1,64,"الإصحاح الأول
خروج,1,65,"الإصحاح الأول
خروج,1,66,"الإصحاح الأول
خروج,1,67,"الإصحاح الأول
خروج,1,68,"الإصحاح الأول
خروج,1,69,"الإصحاح الأول
خروج,1,70,"الإصحاح الأول
خروج,1,71,"الإصحاح الأول
خروج,1,72,"الإصحاح الأول
خروج,1,73,"الإصحاح الأول
خروج,1,74,"الإصحاح الأول
خروج,1,75,"الإصحاح الأول
خروج,1,76,"الإصحاح الأول
خروج,1,77,"الإصحاح الأول
خروج,1,78,"الإصحاح الأول
خروج,1,79,"الإصحاح الأول
خروج,1,80,"الإصحاح الأول
خروج,1,81,"الإصحاح الأول
خروج,1,82,"الإصحاح الأول
خروج,1,83,"الإصحاح الأول
خروج,1,84,"الإصحاح الأول
خروج,1,85,"الإصحاح الأول
خروج,1,86,"الإصحاح الأول
خروج,1,87,"الإصحاح الأول
خروج,1,88,"الإصحاح الأول
خروج,1,89,"الإصحاح الأول
خروج,1,90,"الإصحاح الأول
خروج,1,91,"الإصحاح الأول
خروج,1,92,"الإصحاح الأول
خروج,1,93,"الإصحاح الأول
خروج,1,94,"الإصحاح الأول
خروج,1,95,"الإصحاح الأول
خروج,1,96,"الإصحاح الأول
خروج,1,97,"الإصحاح الأول
خروج,1,98,"الإصحاح الأول
خروج,1,99,"الإصحاح الأول
خروج,2,1,"الإصحاح الثاني
خروج,2,2,"الإصحاح الثاني
خروج,2,3,"الإصحاح الثاني
خروج,2,4,"الإصحاح الثاني
خروج,2,5,"الإصحاح الثاني
خروج,2,6,"الإصحاح الثاني
خروج,2,7,"الإصحاح الثاني
