book,chapter,verse,tafsir
أفسس,1,2,"الأصحاح الأول
أفسس,1,3,"الأصحاح الأول
أفسس,1,4,"الأصحاح الأول
أفسس,1,5,"الأصحاح الأول
أفسس,1,6,"الأصحاح الأول
أفسس,1,7,"الأصحاح الأول
أفسس,1,8,"الأصحاح الأول
أفسس,1,9,"الأصحاح الأول
أفسس,1,10,"الأصحاح الأول
أفسس,1,11,"الأصحاح الأول
أفسس,1,12,"الأصحاح الأول
أفسس,1,13,"الأصحاح الأول
أفسس,1,14,"الأصحاح الأول
أفسس,1,15,"الأصحاح الأول
أفسس,1,16,"الأصحاح الأول
أفسس,1,17,"الأصحاح الأول
أفسس,1,18,"الأصحاح الأول
أفسس,1,19,"الأصحاح الأول
أفسس,1,20,"الأصحاح الأول
أفسس,1,21,"الأصحاح الأول
أفسس,1,22,"الأصحاح الأول
أفسس,1,23,"الأصحاح الأول
أفسس,1,24,"الأصحاح الأول
أفسس,1,25,"الأصحاح الأول
أفسس,1,26,"الأصحاح الأول
أفسس,1,27,"الأصحاح الأول
أفسس,1,28,"الأصحاح الأول
أفسس,1,29,"الأصحاح الأول
أفسس,1,30,"الأصحاح الأول
أفسس,1,31,"الأصحاح الأول
أفسس,1,32,"الأصحاح الأول
أفسس,1,33,"الأصحاح الأول
أفسس,1,34,"الأصحاح الأول
أفسس,1,35,"الأصحاح الأول
أفسس,1,36,"الأصحاح الأول
أفسس,1,37,"الأصحاح الأول
أفسس,1,38,"الأصحاح الأول
أفسس,1,39,"الأصحاح الأول
أفسس,1,40,"الأصحاح الأول
أفسس,1,41,"الأصحاح الأول
أفسس,1,42,"الأصحاح الأول
أفسس,1,43,"الأصحاح الأول
أفسس,1,44,"الأصحاح الأول
أفسس,1,45,"الأصحاح الأول
أفسس,1,46,"الأصحاح الأول
أفسس,1,47,"الأصحاح الأول
أفسس,1,48,"الأصحاح الأول
أفسس,1,49,"الأصحاح الأول
أفسس,1,50,"الأصحاح الأول
أفسس,1,51,"الأصحاح الأول
أفسس,1,52,"الأصحاح الأول
أفسس,1,53,"الأصحاح الأول
أفسس,1,54,"الأصحاح الأول
أفسس,1,55,"الأصحاح الأول
أفسس,1,56,"الأصحاح الأول
أفسس,1,57,"الأصحاح الأول
أفسس,1,58,"الأصحاح الأول
أفسس,1,59,"الأصحاح الأول
أفسس,1,60,"الأصحاح الأول
أفسس,1,61,"الأصحاح الأول
أفسس,1,62,"الأصحاح الأول
أفسس,1,63,"الأصحاح الأول
أفسس,1,64,"الأصحاح الأول
أفسس,1,65,"الأصحاح الأول
أفسس,1,66,"الأصحاح الأول
أفسس,1,67,"الأصحاح الأول
أفسس,1,68,"الأصحاح الأول
أفسس,1,69,"الأصحاح الأول
أفسس,1,70,"الأصحاح الأول
أفسس,1,71,"الأصحاح الأول
أفسس,1,72,"الأصحاح الأول
أفسس,1,73,"الأصحاح الأول
أفسس,1,74,"الأصحاح الأول
أفسس,1,75,"الأصحاح الأول
أفسس,1,76,"الأصحاح الأول
أفسس,1,77,"الأصحاح الأول
أفسس,1,78,"الأصحاح الأول
أفسس,1,79,"الأصحاح الأول
أفسس,1,80,"الأصحاح الأول
أفسس,1,81,"الأصحاح الأول
أفسس,1,82,"الأصحاح الأول
أفسس,1,83,"الأصحاح الأول
أفسس,1,84,"الأصحاح الأول
أفسس,1,85,"الأصحاح الأول
أفسس,1,86,"الأصحاح الأول
أفسس,1,87,"الأصحاح الأول
أفسس,1,88,"الأصحاح الأول
أفسس,1,89,"الأصحاح الأول
أفسس,1,90,"الأصحاح الأول
أفسس,1,91,"الأصحاح الأول
أفسس,1,92,"الأصحاح الأول
أفسس,1,93,"الأصحاح الأول
أفسس,1,94,"الأصحاح الأول
أفسس,1,95,"الأصحاح الأول
أفسس,1,96,"الأصحاح الأول
أفسس,1,97,"الأصحاح الأول
أفسس,1,98,"الأصحاح الأول
أفسس,1,99,"الأصحاح الأول
أفسس,1,1,"المقدمة
أفسس,2,1,"الأصحاح الثاني
أفسس,2,2,"الأصحاح الثاني
أفسس,2,3,"الأصحاح الثاني
أفسس,2,4,"الأصحاح الثاني
أفسس,2,5,"الأصحاح الثاني
أفسس,2,6,"الأصحاح الثاني
أفسس,2,7,"الأصحاح الثاني
أفسس,2,8,"الأصحاح الثاني
أفسس,2,9,"الأصحاح الثاني
أفسس,2,10,"الأصحاح الثاني
أفسس,2,11,"الأصحاح الثاني
أفسس,2,12,"الأصحاح الثاني
أفسس,2,13,"الأصحاح الثاني
أفسس,2,14,"الأصحاح الثاني
أفسس,2,15,"الأصحاح الثاني
أفسس,2,16,"الأصحاح الثاني
أفسس,2,17,"الأصحاح الثاني
أفسس,2,18,"الأصحاح الثاني
أفسس,2,19,"الأصحاح الثاني
أفسس,2,20,"الأصحاح الثاني
أفسس,2,21,"الأصحاح الثاني
أفسس,2,22,"الأصحاح الثاني
أفسس,2,23,"الأصحاح الثاني
أفسس,2,24,"الأصحاح الثاني
أفسس,2,25,"الأصحاح الثاني
أفسس,2,26,"الأصحاح الثاني
أفسس,2,27,"الأصحاح الثاني
أفسس,2,28,"الأصحاح الثاني
أفسس,2,29,"الأصحاح الثاني
أفسس,2,30,"الأصحاح الثاني
أفسس,2,31,"الأصحاح الثاني
أفسس,2,32,"الأصحاح الثاني
أفسس,2,33,"الأصحاح الثاني
أفسس,2,34,"الأصحاح الثاني
أفسس,2,35,"الأصحاح الثاني
أفسس,2,36,"الأصحاح الثاني
أفسس,2,37,"الأصحاح الثاني
أفسس,2,38,"الأصحاح الثاني
أفسس,2,39,"الأصحاح الثاني
أفسس,2,40,"الأصحاح الثاني
أفسس,2,41,"الأصحاح الثاني
أفسس,2,42,"الأصحاح الثاني
أفسس,2,43,"الأصحاح الثاني
أفسس,2,44,"الأصحاح الثاني
أفسس,2,45,"الأصحاح الثاني
أفسس,2,46,"الأصحاح الثاني
أفسس,2,47,"الأصحاح الثاني
أفسس,2,48,"الأصحاح الثاني
أفسس,2,49,"الأصحاح الثاني
أفسس,2,50,"الأصحاح الثاني
أفسس,2,51,"الأصحاح الثاني
أفسس,2,52,"الأصحاح الثاني
أفسس,2,53,"الأصحاح الثاني
أفسس,2,54,"الأصحاح الثاني
أفسس,2,55,"الأصحاح الثاني
أفسس,2,56,"الأصحاح الثاني
أفسس,2,57,"الأصحاح الثاني
أفسس,2,58,"الأصحاح الثاني
أفسس,2,59,"الأصحاح الثاني
أفسس,2,60,"الأصحاح الثاني
أفسس,2,61,"الأصحاح الثاني
أفسس,2,62,"الأصحاح الثاني
أفسس,2,63,"الأصحاح الثاني
أفسس,2,64,"الأصحاح الثاني
أفسس,2,65,"الأصحاح الثاني
أفسس,2,66,"الأصحاح الثاني
أفسس,2,67,"الأصحاح الثاني
أفسس,2,68,"الأصحاح الثاني
أفسس,2,69,"الأصحاح الثاني
أفسس,2,70,"الأصحاح الثاني
أفسس,2,71,"الأصحاح الثاني
أفسس,2,72,"الأصحاح الثاني
أفسس,2,73,"الأصحاح الثاني
أفسس,2,74,"الأصحاح الثاني
أفسس,2,75,"الأصحاح الثاني
أفسس,2,76,"الأصحاح الثاني
أفسس,2,77,"الأصحاح الثاني
أفسس,2,78,"الأصحاح الثاني
أفسس,2,79,"الأصحاح الثاني
أفسس,2,80,"الأصحاح الثاني
أفسس,2,81,"الأصحاح الثاني
أفسس,2,82,"الأصحاح الثاني
أفسس,2,83,"الأصحاح الثاني
أفسس,2,84,"الأصحاح الثاني
أفسس,2,85,"الأصحاح الثاني
أفسس,2,86,"الأصحاح الثاني
أفسس,2,87,"الأصحاح الثاني
أفسس,2,88,"الأصحاح الثاني
أفسس,2,89,"الأصحاح الثاني
أفسس,2,90,"الأصحاح الثاني
أفسس,2,91,"الأصحاح الثاني
أفسس,2,92,"الأصحاح الثاني
أفسس,2,93,"الأصحاح الثاني
أفسس,2,94,"الأصحاح الثاني
أفسس,2,95,"الأصحاح الثاني
أفسس,2,96,"الأصحاح الثاني
أفسس,2,97,"الأصحاح الثاني
أفسس,2,98,"الأصحاح الثاني
أفسس,2,99,"الأصحاح الثاني
أفسس,3,1,"الإصحاح الثالث
أفسس,3,2,"الإصحاح الثالث
أفسس,3,3,"الإصحاح الثالث
أفسس,3,4,"الإصحاح الثالث
أفسس,3,5,"الإصحاح الثالث
أفسس,3,6,"الإصحاح الثالث
أفسس,3,7,"الإصحاح الثالث
أفسس,3,8,"الإصحاح الثالث
أفسس,3,9,"الإصحاح الثالث
أفسس,3,10,"الإصحاح الثالث
أفسس,3,11,"الإصحاح الثالث
أفسس,3,12,"الإصحاح الثالث
أفسس,3,13,"الإصحاح الثالث
أفسس,3,14,"الإصحاح الثالث
أفسس,3,15,"الإصحاح الثالث
أفسس,3,16,"الإصحاح الثالث
أفسس,3,17,"الإصحاح الثالث
أفسس,3,18,"الإصحاح الثالث
أفسس,3,19,"الإصحاح الثالث
أفسس,3,20,"الإصحاح الثالث
أفسس,3,21,"الإصحاح الثالث
أفسس,3,22,"الإصحاح الثالث
أفسس,3,23,"الإصحاح الثالث
أفسس,3,24,"الإصحاح الثالث
أفسس,3,25,"الإصحاح الثالث
أفسس,3,26,"الإصحاح الثالث
أفسس,3,27,"الإصحاح الثالث
أفسس,3,28,"الإصحاح الثالث
أفسس,3,29,"الإصحاح الثالث
أفسس,3,30,"الإصحاح الثالث
أفسس,3,31,"الإصحاح الثالث
أفسس,3,32,"الإصحاح الثالث
أفسس,3,33,"الإصحاح الثالث
أفسس,3,34,"الإصحاح الثالث
أفسس,3,35,"الإصحاح الثالث
أفسس,3,36,"الإصحاح الثالث
أفسس,3,37,"الإصحاح الثالث
أفسس,3,38,"الإصحاح الثالث
أفسس,3,39,"الإصحاح الثالث
أفسس,3,40,"الإصحاح الثالث
أفسس,3,41,"الإصحاح الثالث
أفسس,3,42,"الإصحاح الثالث
أفسس,3,43,"الإصحاح الثالث
أفسس,3,44,"الإصحاح الثالث
أفسس,3,45,"الإصحاح الثالث
أفسس,3,46,"الإصحاح الثالث
أفسس,3,47,"الإصحاح الثالث
أفسس,3,48,"الإصحاح الثالث
أفسس,3,49,"الإصحاح الثالث
أفسس,3,50,"الإصحاح الثالث
أفسس,3,51,"الإصحاح الثالث
أفسس,3,52,"الإصحاح الثالث
أفسس,3,53,"الإصحاح الثالث
أفسس,3,54,"الإصحاح الثالث
أفسس,3,55,"الإصحاح الثالث
أفسس,3,56,"الإصحاح الثالث
أفسس,3,57,"الإصحاح الثالث
أفسس,3,58,"الإصحاح الثالث
أفسس,3,59,"الإصحاح الثالث
أفسس,3,60,"الإصحاح الثالث
أفسس,3,61,"الإصحاح الثالث
أفسس,3,62,"الإصحاح الثالث
أفسس,3,63,"الإصحاح الثالث
أفسس,3,64,"الإصحاح الثالث
أفسس,3,65,"الإصحاح الثالث
أفسس,3,66,"الإصحاح الثالث
أفسس,3,67,"الإصحاح الثالث
أفسس,3,68,"الإصحاح الثالث
أفسس,3,69,"الإصحاح الثالث
أفسس,3,70,"الإصحاح الثالث
أفسس,3,71,"الإصحاح الثالث
أفسس,3,72,"الإصحاح الثالث
أفسس,3,73,"الإصحاح الثالث
أفسس,3,74,"الإصحاح الثالث
أفسس,3,75,"الإصحاح الثالث
أفسس,3,76,"الإصحاح الثالث
أفسس,3,77,"الإصحاح الثالث
أفسس,3,78,"الإصحاح الثالث
أفسس,3,79,"الإصحاح الثالث
أفسس,3,80,"الإصحاح الثالث
أفسس,3,81,"الإصحاح الثالث
أفسس,3,82,"الإصحاح الثالث
أفسس,3,83,"الإصحاح الثالث
أفسس,3,84,"الإصحاح الثالث
أفسس,3,85,"الإصحاح الثالث
أفسس,3,86,"الإصحاح الثالث
أفسس,3,87,"الإصحاح الثالث
أفسس,3,88,"الإصحاح الثالث
أفسس,3,89,"الإصحاح الثالث
أفسس,3,90,"الإصحاح الثالث
أفسس,3,91,"الإصحاح الثالث
أفسس,3,92,"الإصحاح الثالث
أفسس,3,93,"الإصحاح الثالث
أفسس,3,94,"الإصحاح الثالث
أفسس,3,95,"الإصحاح الثالث
أفسس,3,96,"الإصحاح الثالث
أفسس,3,97,"الإصحاح الثالث
أفسس,3,98,"الإصحاح الثالث
أفسس,3,99,"الإصحاح الثالث
أفسس,4,1,"الإصحاح الرابع
أفسس,4,2,"الإصحاح الرابع
أفسس,4,3,"الإصحاح الرابع
أفسس,4,4,"الإصحاح الرابع
أفسس,4,5,"الإصحاح الرابع
أفسس,4,6,"الإصحاح الرابع
أفسس,4,7,"الإصحاح الرابع
أفسس,4,8,"الإصحاح الرابع
أفسس,4,9,"الإصحاح الرابع
أفسس,4,10,"الإصحاح الرابع
أفسس,4,11,"الإصحاح الرابع
أفسس,4,12,"الإصحاح الرابع
أفسس,4,13,"الإصحاح الرابع
أفسس,4,14,"الإصحاح الرابع
أفسس,4,15,"الإصحاح الرابع
أفسس,4,16,"الإصحاح الرابع
أفسس,4,17,"الإصحاح الرابع
أفسس,4,18,"الإصحاح الرابع
أفسس,4,19,"الإصحاح الرابع
أفسس,4,20,"الإصحاح الرابع
أفسس,4,21,"الإصحاح الرابع
أفسس,4,22,"الإصحاح الرابع
أفسس,4,23,"الإصحاح الرابع
أفسس,4,24,"الإصحاح الرابع
أفسس,4,25,"الإصحاح الرابع
أفسس,4,26,"الإصحاح الرابع
أفسس,4,27,"الإصحاح الرابع
أفسس,4,28,"الإصحاح الرابع
أفسس,4,29,"الإصحاح الرابع
أفسس,4,30,"الإصحاح الرابع
أفسس,4,31,"الإصحاح الرابع
أفسس,4,32,"الإصحاح الرابع
أفسس,4,33,"الإصحاح الرابع
أفسس,4,34,"الإصحاح الرابع
أفسس,4,35,"الإصحاح الرابع
أفسس,4,36,"الإصحاح الرابع
أفسس,4,37,"الإصحاح الرابع
أفسس,4,38,"الإصحاح الرابع
أفسس,4,39,"الإصحاح الرابع
أفسس,4,40,"الإصحاح الرابع
أفسس,4,41,"الإصحاح الرابع
أفسس,4,42,"الإصحاح الرابع
أفسس,4,43,"الإصحاح الرابع
أفسس,4,44,"الإصحاح الرابع
أفسس,4,45,"الإصحاح الرابع
أفسس,4,46,"الإصحاح الرابع
أفسس,4,47,"الإصحاح الرابع
أفسس,4,48,"الإصحاح الرابع
أفسس,4,49,"الإصحاح الرابع
أفسس,4,50,"الإصحاح الرابع
أفسس,4,51,"الإصحاح الرابع
أفسس,4,52,"الإصحاح الرابع
أفسس,4,53,"الإصحاح الرابع
أفسس,4,54,"الإصحاح الرابع
أفسس,4,55,"الإصحاح الرابع
أفسس,4,56,"الإصحاح الرابع
أفسس,4,57,"الإصحاح الرابع
أفسس,4,58,"الإصحاح الرابع
أفسس,4,59,"الإصحاح الرابع
