book,chapter,verse,tafsir
تثنية,1,1,"المقدمة
تثنية,1,2,"الإصحاح الأول
تثنية,1,3,"الإصحاح الأول
تثنية,1,4,"الإصحاح الأول
تثنية,1,5,"الإصحاح الأول
تثنية,1,6,"الإصحاح الأول
تثنية,1,7,"الإصحاح الأول
تثنية,1,8,"الإصحاح الأول
تثنية,1,9,"الإصحاح الأول
تثنية,1,10,"الإصحاح الأول
تثنية,1,11,"الإصحاح الأول
تثنية,1,12,"الإصحاح الأول
تثنية,1,13,"الإصحاح الأول
تثنية,1,14,"الإصحاح الأول
تثنية,1,15,"الإصحاح الأول
تثنية,1,16,"الإصحاح الأول
تثنية,1,17,"الإصحاح الأول
تثنية,1,18,"الإصحاح الأول
تثنية,1,19,"الإصحاح الأول
تثنية,1,20,"الإصحاح الأول
تثنية,1,21,"الإصحاح الأول
تثنية,1,22,"الإصحاح الأول
تثنية,1,23,"الإصحاح الأول
تثنية,1,24,"الإصحاح الأول
تثنية,1,25,"الإصحاح الأول
تثنية,1,26,"الإصحاح الأول
تثنية,1,27,"الإصحاح الأول
تثنية,1,28,"الإصحاح الأول
تثنية,1,29,"الإصحاح الأول
تثنية,1,30,"الإصحاح الأول
تثنية,1,31,"الإصحاح الأول
تثنية,1,32,"الإصحاح الأول
تثنية,1,33,"الإصحاح الأول
تثنية,1,34,"الإصحاح الأول
تثنية,1,35,"الإصحاح الأول
تثنية,1,36,"الإصحاح الأول
تثنية,1,37,"الإصحاح الأول
تثنية,1,38,"الإصحاح الأول
تثنية,1,39,"الإصحاح الأول
تثنية,1,40,"الإصحاح الأول
تثنية,1,41,"الإصحاح الأول
تثنية,1,42,"الإصحاح الأول
تثنية,1,43,"الإصحاح الأول
تثنية,1,44,"الإصحاح الأول
تثنية,1,45,"الإصحاح الأول
تثنية,1,46,"الإصحاح الأول
تثنية,1,47,"الإصحاح الأول
تثنية,1,48,"الإصحاح الأول
تثنية,1,49,"الإصحاح الأول
تثنية,1,50,"الإصحاح الأول
تثنية,1,51,"الإصحاح الأول
تثنية,1,52,"الإصحاح الأول
تثنية,1,53,"الإصحاح الأول
تثنية,1,54,"الإصحاح الأول
تثنية,1,55,"الإصحاح الأول
تثنية,1,56,"الإصحاح الأول
تثنية,1,57,"الإصحاح الأول
تثنية,1,58,"الإصحاح الأول
تثنية,1,59,"الإصحاح الأول
تثنية,1,60,"الإصحاح الأول
تثنية,1,61,"الإصحاح الأول
تثنية,1,62,"الإصحاح الأول
تثنية,1,63,"الإصحاح الأول
تثنية,1,64,"الإصحاح الأول
تثنية,1,65,"الإصحاح الأول
تثنية,1,66,"الإصحاح الأول
تثنية,1,67,"الإصحاح الأول
تثنية,1,68,"الإصحاح الأول
تثنية,1,69,"الإصحاح الأول
تثنية,1,70,"الإصحاح الأول
تثنية,1,71,"الإصحاح الأول
تثنية,1,72,"الإصحاح الأول
تثنية,1,73,"الإصحاح الأول
تثنية,1,74,"الإصحاح الأول
تثنية,1,75,"الإصحاح الأول
تثنية,1,76,"الإصحاح الأول
