book,chapter,verse,tafsir
دانيال,1,1,"المقدمة
دانيال,1,2,"الإصحاح الأول
دانيال,1,3,"الإصحاح الأول
دانيال,1,4,"الإصحاح الأول
دانيال,1,5,"الإصحاح الأول
دانيال,1,6,"الإصحاح الأول
دانيال,1,7,"الإصحاح الأول
دانيال,1,8,"الإصحاح الأول
دانيال,1,9,"الإصحاح الأول
دانيال,1,10,"الإصحاح الأول
دانيال,1,11,"الإصحاح الأول
دانيال,1,12,"الإصحاح الأول
دانيال,1,13,"الإصحاح الأول
دانيال,1,14,"الإصحاح الأول
دانيال,1,15,"الإصحاح الأول
دانيال,1,16,"الإصحاح الأول
دانيال,1,17,"الإصحاح الأول
دانيال,1,18,"الإصحاح الأول
دانيال,1,19,"الإصحاح الأول
دانيال,1,20,"الإصحاح الأول
دانيال,1,21,"الإصحاح الأول
دانيال,1,22,"الإصحاح الأول
دانيال,1,23,"الإصحاح الأول
دانيال,1,24,"الإصحاح الأول
دانيال,1,25,"الإصحاح الأول
دانيال,1,26,"الإصحاح الأول
دانيال,1,27,"الإصحاح الأول
دانيال,1,28,"الإصحاح الأول
دانيال,1,29,"الإصحاح الأول
دانيال,1,30,"الإصحاح الأول
دانيال,1,31,"الإصحاح الأول
دانيال,1,32,"الإصحاح الأول
دانيال,1,33,"الإصحاح الأول
دانيال,1,34,"الإصحاح الأول
دانيال,1,35,"الإصحاح الأول
دانيال,1,36,"الإصحاح الأول
دانيال,1,37,"الإصحاح الأول
دانيال,1,38,"الإصحاح الأول
دانيال,1,39,"الإصحاح الأول
دانيال,1,40,"الإصحاح الأول
دانيال,1,41,"الإصحاح الأول
دانيال,1,42,"الإصحاح الأول
دانيال,1,43,"الإصحاح الأول
دانيال,1,44,"الإصحاح الأول
دانيال,1,45,"الإصحاح الأول
دانيال,1,46,"الإصحاح الأول
دانيال,1,47,"الإصحاح الأول
دانيال,1,48,"الإصحاح الأول
دانيال,1,49,"الإصحاح الأول
دانيال,1,50,"الإصحاح الأول
دانيال,1,51,"الإصحاح الأول
دانيال,1,52,"الإصحاح الأول
دانيال,1,53,"الإصحاح الأول
دانيال,1,54,"الإصحاح الأول
دانيال,1,55,"الإصحاح الأول
دانيال,1,56,"الإصحاح الأول
دانيال,1,57,"الإصحاح الأول
دانيال,1,58,"الإصحاح الأول
دانيال,1,59,"الإصحاح الأول
دانيال,1,60,"الإصحاح الأول
دانيال,1,61,"الإصحاح الأول
دانيال,1,62,"الإصحاح الأول
دانيال,1,63,"الإصحاح الأول
دانيال,1,64,"الإصحاح الأول
دانيال,1,65,"الإصحاح الأول
دانيال,1,66,"الإصحاح الأول
دانيال,1,67,"الإصحاح الأول
دانيال,1,68,"الإصحاح الأول
دانيال,1,69,"الإصحاح الأول
دانيال,1,70,"الإصحاح الأول
دانيال,1,71,"الإصحاح الأول
دانيال,1,72,"الإصحاح الأول
دانيال,1,73,"الإصحاح الأول
دانيال,1,74,"الإصحاح الأول
دانيال,1,75,"الإصحاح الأول
دانيال,1,76,"الإصحاح الأول
دانيال,1,77,"الإصحاح الأول
دانيال,1,78,"الإصحاح الأول
دانيال,1,79,"الإصحاح الأول
دانيال,1,80,"الإصحاح الأول
دانيال,1,81,"الإصحاح الأول
دانيال,1,82,"الإصحاح الأول
دانيال,1,83,"الإصحاح الأول
دانيال,1,84,"الإصحاح الأول
دانيال,1,85,"الإصحاح الأول
دانيال,1,86,"الإصحاح الأول
دانيال,1,87,"الإصحاح الأول
دانيال,1,88,"الإصحاح الأول
دانيال,1,89,"الإصحاح الأول
دانيال,1,90,"الإصحاح الأول
دانيال,1,91,"الإصحاح الأول
دانيال,1,92,"الإصحاح الأول
دانيال,1,93,"الإصحاح الأول
دانيال,1,94,"الإصحاح الأول
دانيال,1,95,"الإصحاح الأول
دانيال,1,96,"الإصحاح الأول
دانيال,1,97,"الإصحاح الأول
دانيال,1,98,"الإصحاح الأول
دانيال,1,99,"الإصحاح الأول
دانيال,2,1,"الإصحاح الثاني
دانيال,2,2,"الإصحاح الثاني
دانيال,2,3,"الإصحاح الثاني
دانيال,2,4,"الإصحاح الثاني
دانيال,2,5,"الإصحاح الثاني
دانيال,2,6,"الإصحاح الثاني
دانيال,2,7,"الإصحاح الثاني
دانيال,2,8,"الإصحاح الثاني
دانيال,2,9,"الإصحاح الثاني
دانيال,2,10,"الإصحاح الثاني
دانيال,2,11,"الإصحاح الثاني
دانيال,2,12,"الإصحاح الثاني
دانيال,2,13,"الإصحاح الثاني
دانيال,2,14,"الإصحاح الثاني
دانيال,2,15,"الإصحاح الثاني
دانيال,2,16,"الإصحاح الثاني
دانيال,2,17,"الإصحاح الثاني
دانيال,2,18,"الإصحاح الثاني
دانيال,2,19,"الإصحاح الثاني
دانيال,2,20,"الإصحاح الثاني
دانيال,2,21,"الإصحاح الثاني
دانيال,2,22,"الإصحاح الثاني
دانيال,2,23,"الإصحاح الثاني
دانيال,2,24,"الإصحاح الثاني
دانيال,2,25,"الإصحاح الثاني
دانيال,2,26,"الإصحاح الثاني
دانيال,2,27,"الإصحاح الثاني
دانيال,2,28,"الإصحاح الثاني
دانيال,2,29,"الإصحاح الثاني
دانيال,2,30,"الإصحاح الثاني
دانيال,2,31,"الإصحاح الثاني
دانيال,2,32,"الإصحاح الثاني
دانيال,2,33,"الإصحاح الثاني
دانيال,2,34,"الإصحاح الثاني
دانيال,2,35,"الإصحاح الثاني
دانيال,2,36,"الإصحاح الثاني
دانيال,2,37,"الإصحاح الثاني
دانيال,2,38,"الإصحاح الثاني
دانيال,2,39,"الإصحاح الثاني
دانيال,2,40,"الإصحاح الثاني
دانيال,2,41,"الإصحاح الثاني
دانيال,2,42,"الإصحاح الثاني
دانيال,2,43,"الإصحاح الثاني
دانيال,2,44,"الإصحاح الثاني
دانيال,2,45,"الإصحاح الثاني
دانيال,2,46,"الإصحاح الثاني
دانيال,2,47,"الإصحاح الثاني
دانيال,2,48,"الإصحاح الثاني
دانيال,2,49,"الإصحاح الثاني
دانيال,2,50,"الإصحاح الثاني
دانيال,2,51,"الإصحاح الثاني
دانيال,2,52,"الإصحاح الثاني
دانيال,2,53,"الإصحاح الثاني
دانيال,2,54,"الإصحاح الثاني
دانيال,2,55,"الإصحاح الثاني
دانيال,2,56,"الإصحاح الثاني
دانيال,2,57,"الإصحاح الثاني
دانيال,2,58,"الإصحاح الثاني
دانيال,2,59,"الإصحاح الثاني
دانيال,2,60,"الإصحاح الثاني
دانيال,2,61,"الإصحاح الثاني
دانيال,2,62,"الإصحاح الثاني
دانيال,2,63,"الإصحاح الثاني
دانيال,2,64,"الإصحاح الثاني
دانيال,2,65,"الإصحاح الثاني
دانيال,2,66,"الإصحاح الثاني
دانيال,2,67,"الإصحاح الثاني
دانيال,2,68,"الإصحاح الثاني
دانيال,2,69,"الإصحاح الثاني
دانيال,2,70,"الإصحاح الثاني
دانيال,2,71,"الإصحاح الثاني
دانيال,2,72,"الإصحاح الثاني
دانيال,2,73,"الإصحاح الثاني
دانيال,2,74,"الإصحاح الثاني
دانيال,2,75,"الإصحاح الثاني
دانيال,2,76,"الإصحاح الثاني
دانيال,2,77,"الإصحاح الثاني
دانيال,2,78,"الإصحاح الثاني
دانيال,2,79,"الإصحاح الثاني
دانيال,2,80,"الإصحاح الثاني
دانيال,2,81,"الإصحاح الثاني
دانيال,2,82,"الإصحاح الثاني
دانيال,2,83,"الإصحاح الثاني
دانيال,2,84,"الإصحاح الثاني
دانيال,2,85,"الإصحاح الثاني
دانيال,2,86,"الإصحاح الثاني
دانيال,2,87,"الإصحاح الثاني
دانيال,2,88,"الإصحاح الثاني
دانيال,2,89,"الإصحاح الثاني
دانيال,2,90,"الإصحاح الثاني
دانيال,2,91,"الإصحاح الثاني
دانيال,2,92,"الإصحاح الثاني
دانيال,2,93,"الإصحاح الثاني
دانيال,2,94,"الإصحاح الثاني
دانيال,2,95,"الإصحاح الثاني
دانيال,2,96,"الإصحاح الثاني
دانيال,2,97,"الإصحاح الثاني
دانيال,2,98,"الإصحاح الثاني
دانيال,2,99,"الإصحاح الثاني
دانيال,3,1,"الإصحاح الثالث
دانيال,3,2,"الإصحاح الثالث
دانيال,3,3,"الإصحاح الثالث
دانيال,3,4,"الإصحاح الثالث
دانيال,3,5,"الإصحاح الثالث
دانيال,3,6,"الإصحاح الثالث
دانيال,3,7,"الإصحاح الثالث
دانيال,3,8,"الإصحاح الثالث
دانيال,3,9,"الإصحاح الثالث
دانيال,3,10,"الإصحاح الثالث
دانيال,3,11,"الإصحاح الثالث
دانيال,3,12,"الإصحاح الثالث
دانيال,3,13,"الإصحاح الثالث
دانيال,3,14,"الإصحاح الثالث
دانيال,3,15,"الإصحاح الثالث
دانيال,3,16,"الإصحاح الثالث
دانيال,3,17,"الإصحاح الثالث
دانيال,3,18,"الإصحاح الثالث
دانيال,3,19,"الإصحاح الثالث
دانيال,3,20,"الإصحاح الثالث
دانيال,3,21,"الإصحاح الثالث
دانيال,3,22,"الإصحاح الثالث
دانيال,3,23,"الإصحاح الثالث
دانيال,3,24,"الإصحاح الثالث
دانيال,3,25,"الإصحاح الثالث
دانيال,3,26,"الإصحاح الثالث
دانيال,3,27,"الإصحاح الثالث
دانيال,3,28,"الإصحاح الثالث
دانيال,3,29,"الإصحاح الثالث
دانيال,3,30,"الإصحاح الثالث
دانيال,3,31,"الإصحاح الثالث
دانيال,3,32,"الإصحاح الثالث
دانيال,3,33,"الإصحاح الثالث
دانيال,3,34,"الإصحاح الثالث
دانيال,3,35,"الإصحاح الثالث
دانيال,3,36,"الإصحاح الثالث
دانيال,3,37,"الإصحاح الثالث
دانيال,3,38,"الإصحاح الثالث
دانيال,3,39,"الإصحاح الثالث
دانيال,3,40,"الإصحاح الثالث
دانيال,3,41,"الإصحاح الثالث
دانيال,3,42,"الإصحاح الثالث
دانيال,3,43,"الإصحاح الثالث
دانيال,3,44,"الإصحاح الثالث
دانيال,3,45,"الإصحاح الثالث
دانيال,3,46,"الإصحاح الثالث
دانيال,3,47,"الإصحاح الثالث
دانيال,3,48,"الإصحاح الثالث
دانيال,3,49,"الإصحاح الثالث
دانيال,3,50,"الإصحاح الثالث
دانيال,3,51,"الإصحاح الثالث
دانيال,3,52,"الإصحاح الثالث
دانيال,3,53,"الإصحاح الثالث
دانيال,3,54,"الإصحاح الثالث
دانيال,3,55,"الإصحاح الثالث
دانيال,3,56,"الإصحاح الثالث
دانيال,3,57,"الإصحاح الثالث
دانيال,3,58,"الإصحاح الثالث
دانيال,3,59,"الإصحاح الثالث
دانيال,3,60,"الإصحاح الثالث
دانيال,3,61,"الإصحاح الثالث
دانيال,3,62,"الإصحاح الثالث
دانيال,3,63,"الإصحاح الثالث
دانيال,3,64,"الإصحاح الثالث
دانيال,3,65,"الإصحاح الثالث
دانيال,3,66,"الإصحاح الثالث
دانيال,3,67,"الإصحاح الثالث
دانيال,3,68,"الإصحاح الثالث
دانيال,3,69,"الإصحاح الثالث
دانيال,3,70,"الإصحاح الثالث
دانيال,3,71,"الإصحاح الثالث
دانيال,3,72,"الإصحاح الثالث
دانيال,3,73,"الإصحاح الثالث
دانيال,3,74,"الإصحاح الثالث
دانيال,3,75,"الإصحاح الثالث
دانيال,3,76,"الإصحاح الثالث
دانيال,3,77,"الإصحاح الثالث
دانيال,3,78,"الإصحاح الثالث
دانيال,3,79,"الإصحاح الثالث
دانيال,3,80,"الإصحاح الثالث
دانيال,3,81,"الإصحاح الثالث
دانيال,3,82,"الإصحاح الثالث
دانيال,3,83,"الإصحاح الثالث
دانيال,3,84,"الإصحاح الثالث
دانيال,3,85,"الإصحاح الثالث
دانيال,3,86,"الإصحاح الثالث
دانيال,3,87,"الإصحاح الثالث
دانيال,3,88,"الإصحاح الثالث
دانيال,3,89,"الإصحاح الثالث
دانيال,3,90,"الإصحاح الثالث
دانيال,3,91,"الإصحاح الثالث
دانيال,3,92,"الإصحاح الثالث
دانيال,3,93,"الإصحاح الثالث
دانيال,3,94,"الإصحاح الثالث
دانيال,3,95,"الإصحاح الثالث
دانيال,3,96,"الإصحاح الثالث
دانيال,3,97,"الإصحاح الثالث
دانيال,3,98,"الإصحاح الثالث
دانيال,3,99,"الإصحاح الثالث
دانيال,4,1,"الإصحاح الرابع
دانيال,4,2,"الإصحاح الرابع
دانيال,4,3,"الإصحاح الرابع
دانيال,4,4,"الإصحاح الرابع
دانيال,4,5,"الإصحاح الرابع
دانيال,4,6,"الإصحاح الرابع
دانيال,4,7,"الإصحاح الرابع
دانيال,4,8,"الإصحاح الرابع
دانيال,4,9,"الإصحاح الرابع
دانيال,4,10,"الإصحاح الرابع
دانيال,4,11,"الإصحاح الرابع
دانيال,4,12,"الإصحاح الرابع
دانيال,4,13,"الإصحاح الرابع
دانيال,4,14,"الإصحاح الرابع
دانيال,4,15,"الإصحاح الرابع
دانيال,4,16,"الإصحاح الرابع
دانيال,4,17,"الإصحاح الرابع
دانيال,4,18,"الإصحاح الرابع
دانيال,4,19,"الإصحاح الرابع
دانيال,4,20,"الإصحاح الرابع
دانيال,4,21,"الإصحاح الرابع
دانيال,4,22,"الإصحاح الرابع
دانيال,4,23,"الإصحاح الرابع
دانيال,4,24,"الإصحاح الرابع
دانيال,4,25,"الإصحاح الرابع
دانيال,4,26,"الإصحاح الرابع
دانيال,4,27,"الإصحاح الرابع
دانيال,4,28,"الإصحاح الرابع
دانيال,4,29,"الإصحاح الرابع
دانيال,4,30,"الإصحاح الرابع
دانيال,4,31,"الإصحاح الرابع
دانيال,4,32,"الإصحاح الرابع
دانيال,4,33,"الإصحاح الرابع
دانيال,4,34,"الإصحاح الرابع
دانيال,4,35,"الإصحاح الرابع
دانيال,4,36,"الإصحاح الرابع
دانيال,4,37,"الإصحاح الرابع
دانيال,4,38,"الإصحاح الرابع
دانيال,4,39,"الإصحاح الرابع
دانيال,4,40,"الإصحاح الرابع
دانيال,4,41,"الإصحاح الرابع
دانيال,4,42,"الإصحاح الرابع
دانيال,4,43,"الإصحاح الرابع
دانيال,4,44,"الإصحاح الرابع
دانيال,4,45,"الإصحاح الرابع
دانيال,4,46,"الإصحاح الرابع
دانيال,4,47,"الإصحاح الرابع
دانيال,4,48,"الإصحاح الرابع
دانيال,4,49,"الإصحاح الرابع
دانيال,4,50,"الإصحاح الرابع
دانيال,4,51,"الإصحاح الرابع
دانيال,4,52,"الإصحاح الرابع
دانيال,4,53,"الإصحاح الرابع
دانيال,4,54,"الإصحاح الرابع
دانيال,4,55,"الإصحاح الرابع
دانيال,4,56,"الإصحاح الرابع
دانيال,4,57,"الإصحاح الرابع
دانيال,4,58,"الإصحاح الرابع
دانيال,4,59,"الإصحاح الرابع
دانيال,4,60,"الإصحاح الرابع
دانيال,4,61,"الإصحاح الرابع
دانيال,4,62,"الإصحاح الرابع
دانيال,4,63,"الإصحاح الرابع
دانيال,4,64,"الإصحاح الرابع
دانيال,4,65,"الإصحاح الرابع
دانيال,4,66,"الإصحاح الرابع
دانيال,4,67,"الإصحاح الرابع
دانيال,4,68,"الإصحاح الرابع
دانيال,4,69,"الإصحاح الرابع
دانيال,4,70,"الإصحاح الرابع
دانيال,4,71,"الإصحاح الرابع
دانيال,4,72,"الإصحاح الرابع
دانيال,4,73,"الإصحاح الرابع
دانيال,4,74,"الإصحاح الرابع
دانيال,4,75,"الإصحاح الرابع
دانيال,4,76,"الإصحاح الرابع
دانيال,4,77,"الإصحاح الرابع
دانيال,4,78,"الإصحاح الرابع
دانيال,4,79,"الإصحاح الرابع
دانيال,4,80,"الإصحاح الرابع
دانيال,4,81,"الإصحاح الرابع
دانيال,4,82,"الإصحاح الرابع
دانيال,4,83,"الإصحاح الرابع
دانيال,4,84,"الإصحاح الرابع
دانيال,4,85,"الإصحاح الرابع
دانيال,4,86,"الإصحاح الرابع
دانيال,4,87,"الإصحاح الرابع
دانيال,4,88,"الإصحاح الرابع
دانيال,4,89,"الإصحاح الرابع
دانيال,4,90,"الإصحاح الرابع
دانيال,4,91,"الإصحاح الرابع
دانيال,4,92,"الإصحاح الرابع
دانيال,4,93,"الإصحاح الرابع
دانيال,4,94,"الإصحاح الرابع
دانيال,4,95,"الإصحاح الرابع
دانيال,4,96,"الإصحاح الرابع
دانيال,4,97,"الإصحاح الرابع
