book,chapter,verse,tafsir
صموئيل أول,1,1,"مقدمات للأسفار التاريخية 
صموئيل أول,1,2,"الإصحاح الأول 
صموئيل أول,1,3,"الإصحاح الأول 
صموئيل أول,1,4,"الإصحاح الأول 
صموئيل أول,1,5,"الإصحاح الأول 
صموئيل أول,1,6,"الإصحاح الأول 
صموئيل أول,1,7,"الإصحاح الأول 
صموئيل أول,1,8,"الإصحاح الأول 
صموئيل أول,1,9,"الإصحاح الأول 
صموئيل أول,1,10,"الإصحاح الأول 
صموئيل أول,1,11,"الإصحاح الأول 
صموئيل أول,1,12,"الإصحاح الأول 
صموئيل أول,1,13,"الإصحاح الأول 
صموئيل أول,1,14,"الإصحاح الأول 
صموئيل أول,1,15,"الإصحاح الأول 
صموئيل أول,1,16,"الإصحاح الأول 
صموئيل أول,1,17,"الإصحاح الأول 
صموئيل أول,1,18,"الإصحاح الأول 
صموئيل أول,1,19,"الإصحاح الأول 
صموئيل أول,1,20,"الإصحاح الأول 
صموئيل أول,1,21,"الإصحاح الأول 
صموئيل أول,1,22,"الإصحاح الأول 
صموئيل أول,1,23,"الإصحاح الأول 
صموئيل أول,1,24,"الإصحاح الأول 
صموئيل أول,1,25,"الإصحاح الأول 
صموئيل أول,1,26,"الإصحاح الأول 
صموئيل أول,1,27,"الإصحاح الأول 
صموئيل أول,1,28,"الإصحاح الأول 
صموئيل أول,1,29,"الإصحاح الأول 
صموئيل أول,1,30,"الإصحاح الأول 
صموئيل أول,1,31,"الإصحاح الأول 
صموئيل أول,1,32,"الإصحاح الأول 
صموئيل أول,1,33,"الإصحاح الأول 
صموئيل أول,1,34,"الإصحاح الأول 
صموئيل أول,1,35,"الإصحاح الأول 
صموئيل أول,1,36,"الإصحاح الأول 
صموئيل أول,1,37,"الإصحاح الأول 
صموئيل أول,1,38,"الإصحاح الأول 
صموئيل أول,1,39,"الإصحاح الأول 
صموئيل أول,1,40,"الإصحاح الأول 
صموئيل أول,1,41,"الإصحاح الأول 
صموئيل أول,1,42,"الإصحاح الأول 
صموئيل أول,1,43,"الإصحاح الأول 
صموئيل أول,1,44,"الإصحاح الأول 
صموئيل أول,1,45,"الإصحاح الأول 
صموئيل أول,1,46,"الإصحاح الأول 
صموئيل أول,1,47,"الإصحاح الأول 
صموئيل أول,1,48,"الإصحاح الأول 
صموئيل أول,1,49,"الإصحاح الأول 
صموئيل أول,1,50,"الإصحاح الأول 
صموئيل أول,1,51,"الإصحاح الأول 
صموئيل أول,1,52,"الإصحاح الأول 
