book,chapter,verse,tafsir
عدد,1,1,"مقدمة
عدد,1,2,"الإصحاح الأول
عدد,1,3,"الإصحاح الأول
عدد,1,4,"الإصحاح الأول
عدد,1,5,"الإصحاح الأول
عدد,1,6,"الإصحاح الأول
عدد,1,7,"الإصحاح الأول
عدد,1,8,"الإصحاح الأول
عدد,1,9,"الإصحاح الأول
عدد,1,10,"الإصحاح الأول
عدد,1,11,"الإصحاح الأول
عدد,1,12,"الإصحاح الأول
عدد,1,13,"الإصحاح الأول
عدد,1,14,"الإصحاح الأول
عدد,1,15,"الإصحاح الأول
عدد,1,16,"الإصحاح الأول
عدد,1,17,"الإصحاح الأول
عدد,1,18,"الإصحاح الأول
عدد,1,19,"الإصحاح الأول
عدد,1,20,"الإصحاح الأول
عدد,1,21,"الإصحاح الأول
عدد,1,22,"الإصحاح الأول
عدد,1,23,"الإصحاح الأول
عدد,1,24,"الإصحاح الأول
عدد,1,25,"الإصحاح الأول
عدد,1,26,"الإصحاح الأول
عدد,1,27,"الإصحاح الأول
عدد,1,28,"الإصحاح الأول
عدد,1,29,"الإصحاح الأول
عدد,1,30,"الإصحاح الأول
عدد,1,31,"الإصحاح الأول
عدد,1,32,"الإصحاح الأول
عدد,1,33,"الإصحاح الأول
عدد,1,34,"الإصحاح الأول
عدد,1,35,"الإصحاح الأول
عدد,1,36,"الإصحاح الأول
عدد,1,37,"الإصحاح الأول
عدد,1,38,"الإصحاح الأول
عدد,1,39,"الإصحاح الأول
عدد,1,40,"الإصحاح الأول
عدد,1,41,"الإصحاح الأول
عدد,1,42,"الإصحاح الأول
عدد,1,43,"الإصحاح الأول
عدد,1,44,"الإصحاح الأول
عدد,1,45,"الإصحاح الأول
عدد,1,46,"الإصحاح الأول
عدد,1,47,"الإصحاح الأول
عدد,1,48,"الإصحاح الأول
عدد,1,49,"الإصحاح الأول
عدد,1,50,"الإصحاح الأول
عدد,1,51,"الإصحاح الأول
عدد,1,52,"الإصحاح الأول
عدد,1,53,"الإصحاح الأول
عدد,1,54,"الإصحاح الأول
عدد,1,55,"الإصحاح الأول
عدد,1,56,"الإصحاح الأول
عدد,1,57,"الإصحاح الأول
عدد,1,58,"الإصحاح الأول
عدد,1,59,"الإصحاح الأول
عدد,1,60,"الإصحاح الأول
عدد,1,61,"الإصحاح الأول
عدد,1,62,"الإصحاح الأول
عدد,1,63,"الإصحاح الأول
عدد,1,64,"الإصحاح الأول
عدد,1,65,"الإصحاح الأول
عدد,1,66,"الإصحاح الأول
عدد,1,67,"الإصحاح الأول
عدد,1,68,"الإصحاح الأول
عدد,1,69,"الإصحاح الأول
عدد,1,70,"الإصحاح الأول
عدد,1,71,"الإصحاح الأول
عدد,1,72,"الإصحاح الأول
عدد,1,73,"الإصحاح الأول
عدد,1,74,"الإصحاح الأول
عدد,1,75,"الإصحاح الأول
عدد,1,76,"الإصحاح الأول
عدد,1,77,"الإصحاح الأول
عدد,1,78,"الإصحاح الأول
عدد,1,79,"الإصحاح الأول
عدد,1,80,"الإصحاح الأول
عدد,1,81,"الإصحاح الأول
عدد,1,82,"الإصحاح الأول
عدد,1,83,"الإصحاح الأول
عدد,1,84,"الإصحاح الأول
عدد,1,85,"الإصحاح الأول
عدد,1,86,"الإصحاح الأول
عدد,1,87,"الإصحاح الأول
عدد,1,88,"الإصحاح الأول
عدد,1,89,"الإصحاح الأول
عدد,1,90,"الإصحاح الأول
عدد,1,91,"الإصحاح الأول
عدد,1,92,"الإصحاح الأول
عدد,1,93,"الإصحاح الأول
عدد,1,94,"الإصحاح الأول
عدد,1,95,"الإصحاح الأول
عدد,1,96,"الإصحاح الأول
عدد,1,97,"الإصحاح الأول
عدد,1,98,"الإصحاح الأول
عدد,1,99,"الإصحاح الأول
عدد,2,1,"الإصحاح الثانى
عدد,2,2,"الإصحاح الثانى
عدد,2,3,"الإصحاح الثانى
عدد,2,4,"الإصحاح الثانى
عدد,2,5,"الإصحاح الثانى
عدد,2,6,"الإصحاح الثانى
عدد,2,7,"الإصحاح الثانى
عدد,2,8,"الإصحاح الثانى
عدد,2,9,"الإصحاح الثانى
عدد,2,10,"الإصحاح الثانى
عدد,2,11,"الإصحاح الثانى
عدد,2,12,"الإصحاح الثانى
عدد,2,13,"الإصحاح الثانى
عدد,2,14,"الإصحاح الثانى
عدد,2,15,"الإصحاح الثانى
عدد,2,16,"الإصحاح الثانى
عدد,2,17,"الإصحاح الثانى
عدد,2,18,"الإصحاح الثانى
عدد,2,19,"الإصحاح الثانى
عدد,2,20,"الإصحاح الثانى
عدد,2,21,"الإصحاح الثانى
عدد,2,22,"الإصحاح الثانى
عدد,2,23,"الإصحاح الثانى
عدد,2,24,"الإصحاح الثانى
عدد,2,25,"الإصحاح الثانى
عدد,2,26,"الإصحاح الثانى
عدد,2,27,"الإصحاح الثانى
عدد,2,28,"الإصحاح الثانى
عدد,2,29,"الإصحاح الثانى
عدد,2,30,"الإصحاح الثانى
عدد,2,31,"الإصحاح الثانى
عدد,2,32,"الإصحاح الثانى
عدد,2,33,"الإصحاح الثانى
عدد,2,34,"الإصحاح الثانى
عدد,2,35,"الإصحاح الثانى
عدد,2,36,"الإصحاح الثانى
عدد,2,37,"الإصحاح الثانى
عدد,2,38,"الإصحاح الثانى
عدد,2,39,"الإصحاح الثانى
عدد,2,40,"الإصحاح الثانى
عدد,2,41,"الإصحاح الثانى
عدد,2,42,"الإصحاح الثانى
عدد,2,43,"الإصحاح الثانى
عدد,2,44,"الإصحاح الثانى
عدد,2,45,"الإصحاح الثانى
عدد,2,46,"الإصحاح الثانى
عدد,2,47,"الإصحاح الثانى
عدد,2,48,"الإصحاح الثانى
عدد,2,49,"الإصحاح الثانى
عدد,2,50,"الإصحاح الثانى
عدد,2,51,"الإصحاح الثانى
عدد,2,52,"الإصحاح الثانى
عدد,2,53,"الإصحاح الثانى
عدد,2,54,"الإصحاح الثانى
عدد,2,55,"الإصحاح الثانى
عدد,2,56,"الإصحاح الثانى
عدد,2,57,"الإصحاح الثانى
عدد,2,58,"الإصحاح الثانى
عدد,2,59,"الإصحاح الثانى
عدد,2,60,"الإصحاح الثانى
عدد,2,61,"الإصحاح الثانى
عدد,2,62,"الإصحاح الثانى
عدد,2,63,"الإصحاح الثانى
عدد,2,64,"الإصحاح الثانى
عدد,2,65,"الإصحاح الثانى
عدد,2,66,"الإصحاح الثانى
عدد,2,67,"الإصحاح الثانى
