book,chapter,verse,tafsir
قضاة,1,1,"المقدمة
قضاة,1,1,"سفر يشوع يعلن ميراثنا أرض الموعد بيشوع الحقيقى وسفر القضاة يكشف عن الإلتزام بدوام الجهاد مادمنا في الجسد حتى نستولى على كنعان كلها\'a1 أي ننعم بكمال الوعد. ونجد في هذا الإصحاح أخبار متنوعة ففي الآيات (2-21) نرى غزو جنوب كنعان بواسطة يهوذا وفي الآيات (22-26) نرى إستيلاء سبط يوسف على بيت إيل وفي الآيات (27-36) قائمة المدن التي لم تستطع الأسباط الوسطى والشمالية طرد الكنعانيين منها. وبذلك نرى أن الله يسجل من جاهد ومن تقاعس فى إصحاح واحد ليشجعنا أن نجاهد ضد إبليس. فأمكانية هزيمة إبليس موجودة بشرط أن نجاهد ولا نتهاون.
قضاة,2,1,"الآيات (1-5): وصعد ملاك الرب من الجلجال إلى بوكيم وقال قد أصعدتكم من مصر وأتيت بكم إلى الأرض التي أقسمت لآبائكم وقلت لا انكث عهدي معكم إلى الأبد.و انتم فلا تقطعوا عهدا مع سكان هذه الأرض اهدموا مذابحهم ولم تسمعوا لصوتي فماذا عملتم. فقلت أيضا لا اطردهم من أمامكم بل يكونون لكم مضايقين وتكون آلهتهم لكم شركا. وكان لما تكلم ملاك الرب بهذا الكلام إلى جميع بني إسرائيل أن الشعب رفعوا صوتهم وبكوا. فدعوا اسم ذلك المكان بوكيم وذبحوا هناك للرب.
قضاة,2,2,"الآيات (1-5): وصعد ملاك الرب من الجلجال إلى بوكيم وقال قد أصعدتكم من مصر وأتيت بكم إلى الأرض التي أقسمت لآبائكم وقلت لا انكث عهدي معكم إلى الأبد.و انتم فلا تقطعوا عهدا مع سكان هذه الأرض اهدموا مذابحهم ولم تسمعوا لصوتي فماذا عملتم. فقلت أيضا لا اطردهم من أمامكم بل يكونون لكم مضايقين وتكون آلهتهم لكم شركا. وكان لما تكلم ملاك الرب بهذا الكلام إلى جميع بني إسرائيل أن الشعب رفعوا صوتهم وبكوا. فدعوا اسم ذلك المكان بوكيم وذبحوا هناك للرب.
قضاة,2,3,"الآيات (1-5): وصعد ملاك الرب من الجلجال إلى بوكيم وقال قد أصعدتكم من مصر وأتيت بكم إلى الأرض التي أقسمت لآبائكم وقلت لا انكث عهدي معكم إلى الأبد.و انتم فلا تقطعوا عهدا مع سكان هذه الأرض اهدموا مذابحهم ولم تسمعوا لصوتي فماذا عملتم. فقلت أيضا لا اطردهم من أمامكم بل يكونون لكم مضايقين وتكون آلهتهم لكم شركا. وكان لما تكلم ملاك الرب بهذا الكلام إلى جميع بني إسرائيل أن الشعب رفعوا صوتهم وبكوا. فدعوا اسم ذلك المكان بوكيم وذبحوا هناك للرب.
قضاة,2,4,"الآيات (1-5): وصعد ملاك الرب من الجلجال إلى بوكيم وقال قد أصعدتكم من مصر وأتيت بكم إلى الأرض التي أقسمت لآبائكم وقلت لا انكث عهدي معكم إلى الأبد.و انتم فلا تقطعوا عهدا مع سكان هذه الأرض اهدموا مذابحهم ولم تسمعوا لصوتي فماذا عملتم. فقلت أيضا لا اطردهم من أمامكم بل يكونون لكم مضايقين وتكون آلهتهم لكم شركا. وكان لما تكلم ملاك الرب بهذا الكلام إلى جميع بني إسرائيل أن الشعب رفعوا صوتهم وبكوا. فدعوا اسم ذلك المكان بوكيم وذبحوا هناك للرب.
قضاة,2,5,"الآيات (1-5): وصعد ملاك الرب من الجلجال إلى بوكيم وقال قد أصعدتكم من مصر وأتيت بكم إلى الأرض التي أقسمت لآبائكم وقلت لا انكث عهدي معكم إلى الأبد.و انتم فلا تقطعوا عهدا مع سكان هذه الأرض اهدموا مذابحهم ولم تسمعوا لصوتي فماذا عملتم. فقلت أيضا لا اطردهم من أمامكم بل يكونون لكم مضايقين وتكون آلهتهم لكم شركا. وكان لما تكلم ملاك الرب بهذا الكلام إلى جميع بني إسرائيل أن الشعب رفعوا صوتهم وبكوا. فدعوا اسم ذلك المكان بوكيم وذبحوا هناك للرب.
قضاة,2,6,"الآيات (1-5): وصعد ملاك الرب من الجلجال إلى بوكيم وقال قد أصعدتكم من مصر وأتيت بكم إلى الأرض التي أقسمت لآبائكم وقلت لا انكث عهدي معكم إلى الأبد.و انتم فلا تقطعوا عهدا مع سكان هذه الأرض اهدموا مذابحهم ولم تسمعوا لصوتي فماذا عملتم. فقلت أيضا لا اطردهم من أمامكم بل يكونون لكم مضايقين وتكون آلهتهم لكم شركا. وكان لما تكلم ملاك الرب بهذا الكلام إلى جميع بني إسرائيل أن الشعب رفعوا صوتهم وبكوا. فدعوا اسم ذلك المكان بوكيم وذبحوا هناك للرب.
قضاة,2,7,"الآيات (1-5): وصعد ملاك الرب من الجلجال إلى بوكيم وقال قد أصعدتكم من مصر وأتيت بكم إلى الأرض التي أقسمت لآبائكم وقلت لا انكث عهدي معكم إلى الأبد.و انتم فلا تقطعوا عهدا مع سكان هذه الأرض اهدموا مذابحهم ولم تسمعوا لصوتي فماذا عملتم. فقلت أيضا لا اطردهم من أمامكم بل يكونون لكم مضايقين وتكون آلهتهم لكم شركا. وكان لما تكلم ملاك الرب بهذا الكلام إلى جميع بني إسرائيل أن الشعب رفعوا صوتهم وبكوا. فدعوا اسم ذلك المكان بوكيم وذبحوا هناك للرب.
قضاة,2,8,"الآيات (1-5): وصعد ملاك الرب من الجلجال إلى بوكيم وقال قد أصعدتكم من مصر وأتيت بكم إلى الأرض التي أقسمت لآبائكم وقلت لا انكث عهدي معكم إلى الأبد.و انتم فلا تقطعوا عهدا مع سكان هذه الأرض اهدموا مذابحهم ولم تسمعوا لصوتي فماذا عملتم. فقلت أيضا لا اطردهم من أمامكم بل يكونون لكم مضايقين وتكون آلهتهم لكم شركا. وكان لما تكلم ملاك الرب بهذا الكلام إلى جميع بني إسرائيل أن الشعب رفعوا صوتهم وبكوا. فدعوا اسم ذلك المكان بوكيم وذبحوا هناك للرب.
قضاة,2,9,"الآيات (1-5): وصعد ملاك الرب من الجلجال إلى بوكيم وقال قد أصعدتكم من مصر وأتيت بكم إلى الأرض التي أقسمت لآبائكم وقلت لا انكث عهدي معكم إلى الأبد.و انتم فلا تقطعوا عهدا مع سكان هذه الأرض اهدموا مذابحهم ولم تسمعوا لصوتي فماذا عملتم. فقلت أيضا لا اطردهم من أمامكم بل يكونون لكم مضايقين وتكون آلهتهم لكم شركا. وكان لما تكلم ملاك الرب بهذا الكلام إلى جميع بني إسرائيل أن الشعب رفعوا صوتهم وبكوا. فدعوا اسم ذلك المكان بوكيم وذبحوا هناك للرب.
قضاة,2,10,"الآيات (1-5): وصعد ملاك الرب من الجلجال إلى بوكيم وقال قد أصعدتكم من مصر وأتيت بكم إلى الأرض التي أقسمت لآبائكم وقلت لا انكث عهدي معكم إلى الأبد.و انتم فلا تقطعوا عهدا مع سكان هذه الأرض اهدموا مذابحهم ولم تسمعوا لصوتي فماذا عملتم. فقلت أيضا لا اطردهم من أمامكم بل يكونون لكم مضايقين وتكون آلهتهم لكم شركا. وكان لما تكلم ملاك الرب بهذا الكلام إلى جميع بني إسرائيل أن الشعب رفعوا صوتهم وبكوا. فدعوا اسم ذلك المكان بوكيم وذبحوا هناك للرب.
قضاة,2,11,"الآيات (1-5): وصعد ملاك الرب من الجلجال إلى بوكيم وقال قد أصعدتكم من مصر وأتيت بكم إلى الأرض التي أقسمت لآبائكم وقلت لا انكث عهدي معكم إلى الأبد.و انتم فلا تقطعوا عهدا مع سكان هذه الأرض اهدموا مذابحهم ولم تسمعوا لصوتي فماذا عملتم. فقلت أيضا لا اطردهم من أمامكم بل يكونون لكم مضايقين وتكون آلهتهم لكم شركا. وكان لما تكلم ملاك الرب بهذا الكلام إلى جميع بني إسرائيل أن الشعب رفعوا صوتهم وبكوا. فدعوا اسم ذلك المكان بوكيم وذبحوا هناك للرب.
قضاة,2,12,"الآيات (1-5): وصعد ملاك الرب من الجلجال إلى بوكيم وقال قد أصعدتكم من مصر وأتيت بكم إلى الأرض التي أقسمت لآبائكم وقلت لا انكث عهدي معكم إلى الأبد.و انتم فلا تقطعوا عهدا مع سكان هذه الأرض اهدموا مذابحهم ولم تسمعوا لصوتي فماذا عملتم. فقلت أيضا لا اطردهم من أمامكم بل يكونون لكم مضايقين وتكون آلهتهم لكم شركا. وكان لما تكلم ملاك الرب بهذا الكلام إلى جميع بني إسرائيل أن الشعب رفعوا صوتهم وبكوا. فدعوا اسم ذلك المكان بوكيم وذبحوا هناك للرب.
قضاة,2,13,"الآيات (1-5): وصعد ملاك الرب من الجلجال إلى بوكيم وقال قد أصعدتكم من مصر وأتيت بكم إلى الأرض التي أقسمت لآبائكم وقلت لا انكث عهدي معكم إلى الأبد.و انتم فلا تقطعوا عهدا مع سكان هذه الأرض اهدموا مذابحهم ولم تسمعوا لصوتي فماذا عملتم. فقلت أيضا لا اطردهم من أمامكم بل يكونون لكم مضايقين وتكون آلهتهم لكم شركا. وكان لما تكلم ملاك الرب بهذا الكلام إلى جميع بني إسرائيل أن الشعب رفعوا صوتهم وبكوا. فدعوا اسم ذلك المكان بوكيم وذبحوا هناك للرب.
قضاة,2,14,"الآيات (1-5): وصعد ملاك الرب من الجلجال إلى بوكيم وقال قد أصعدتكم من مصر وأتيت بكم إلى الأرض التي أقسمت لآبائكم وقلت لا انكث عهدي معكم إلى الأبد.و انتم فلا تقطعوا عهدا مع سكان هذه الأرض اهدموا مذابحهم ولم تسمعوا لصوتي فماذا عملتم. فقلت أيضا لا اطردهم من أمامكم بل يكونون لكم مضايقين وتكون آلهتهم لكم شركا. وكان لما تكلم ملاك الرب بهذا الكلام إلى جميع بني إسرائيل أن الشعب رفعوا صوتهم وبكوا. فدعوا اسم ذلك المكان بوكيم وذبحوا هناك للرب.
قضاة,2,15,"الآيات (1-5): وصعد ملاك الرب من الجلجال إلى بوكيم وقال قد أصعدتكم من مصر وأتيت بكم إلى الأرض التي أقسمت لآبائكم وقلت لا انكث عهدي معكم إلى الأبد.و انتم فلا تقطعوا عهدا مع سكان هذه الأرض اهدموا مذابحهم ولم تسمعوا لصوتي فماذا عملتم. فقلت أيضا لا اطردهم من أمامكم بل يكونون لكم مضايقين وتكون آلهتهم لكم شركا. وكان لما تكلم ملاك الرب بهذا الكلام إلى جميع بني إسرائيل أن الشعب رفعوا صوتهم وبكوا. فدعوا اسم ذلك المكان بوكيم وذبحوا هناك للرب.
قضاة,2,16,"الآيات (1-5): وصعد ملاك الرب من الجلجال إلى بوكيم وقال قد أصعدتكم من مصر وأتيت بكم إلى الأرض التي أقسمت لآبائكم وقلت لا انكث عهدي معكم إلى الأبد.و انتم فلا تقطعوا عهدا مع سكان هذه الأرض اهدموا مذابحهم ولم تسمعوا لصوتي فماذا عملتم. فقلت أيضا لا اطردهم من أمامكم بل يكونون لكم مضايقين وتكون آلهتهم لكم شركا. وكان لما تكلم ملاك الرب بهذا الكلام إلى جميع بني إسرائيل أن الشعب رفعوا صوتهم وبكوا. فدعوا اسم ذلك المكان بوكيم وذبحوا هناك للرب.
قضاة,2,17,"الآيات (1-5): وصعد ملاك الرب من الجلجال إلى بوكيم وقال قد أصعدتكم من مصر وأتيت بكم إلى الأرض التي أقسمت لآبائكم وقلت لا انكث عهدي معكم إلى الأبد.و انتم فلا تقطعوا عهدا مع سكان هذه الأرض اهدموا مذابحهم ولم تسمعوا لصوتي فماذا عملتم. فقلت أيضا لا اطردهم من أمامكم بل يكونون لكم مضايقين وتكون آلهتهم لكم شركا. وكان لما تكلم ملاك الرب بهذا الكلام إلى جميع بني إسرائيل أن الشعب رفعوا صوتهم وبكوا. فدعوا اسم ذلك المكان بوكيم وذبحوا هناك للرب.
قضاة,2,18,"الآيات (1-5): وصعد ملاك الرب من الجلجال إلى بوكيم وقال قد أصعدتكم من مصر وأتيت بكم إلى الأرض التي أقسمت لآبائكم وقلت لا انكث عهدي معكم إلى الأبد.و انتم فلا تقطعوا عهدا مع سكان هذه الأرض اهدموا مذابحهم ولم تسمعوا لصوتي فماذا عملتم. فقلت أيضا لا اطردهم من أمامكم بل يكونون لكم مضايقين وتكون آلهتهم لكم شركا. وكان لما تكلم ملاك الرب بهذا الكلام إلى جميع بني إسرائيل أن الشعب رفعوا صوتهم وبكوا. فدعوا اسم ذلك المكان بوكيم وذبحوا هناك للرب.
