book,chapter,verse,tafsir
كورنثوس ثانية,1,1,"الإصحاح الأول
كورنثوس ثانية,2,1,"الإصحاح الثاني
كورنثوس ثانية,2,2,"الإصحاح الثاني
كورنثوس ثانية,2,3,"الإصحاح الثاني
كورنثوس ثانية,2,4,"الإصحاح الثاني
كورنثوس ثانية,2,5,"الإصحاح الثاني
كورنثوس ثانية,2,6,"الإصحاح الثاني
كورنثوس ثانية,2,7,"الإصحاح الثاني
كورنثوس ثانية,2,8,"الإصحاح الثاني
كورنثوس ثانية,2,9,"الإصحاح الثاني
كورنثوس ثانية,2,10,"الإصحاح الثاني
كورنثوس ثانية,2,11,"الإصحاح الثاني
كورنثوس ثانية,2,12,"الإصحاح الثاني
كورنثوس ثانية,2,13,"الإصحاح الثاني
كورنثوس ثانية,2,14,"الإصحاح الثاني
كورنثوس ثانية,2,15,"الإصحاح الثاني
كورنثوس ثانية,2,16,"الإصحاح الثاني
كورنثوس ثانية,2,17,"الإصحاح الثاني
كورنثوس ثانية,2,18,"الإصحاح الثاني
كورنثوس ثانية,2,19,"الإصحاح الثاني
كورنثوس ثانية,2,20,"الإصحاح الثاني
كورنثوس ثانية,2,21,"الإصحاح الثاني
كورنثوس ثانية,2,22,"الإصحاح الثاني
كورنثوس ثانية,2,23,"الإصحاح الثاني
كورنثوس ثانية,2,24,"الإصحاح الثاني
كورنثوس ثانية,2,25,"الإصحاح الثاني
كورنثوس ثانية,2,26,"الإصحاح الثاني
كورنثوس ثانية,2,27,"الإصحاح الثاني
كورنثوس ثانية,2,28,"الإصحاح الثاني
كورنثوس ثانية,2,29,"الإصحاح الثاني
كورنثوس ثانية,2,30,"الإصحاح الثاني
كورنثوس ثانية,2,31,"الإصحاح الثاني
كورنثوس ثانية,2,32,"الإصحاح الثاني
كورنثوس ثانية,2,33,"الإصحاح الثاني
كورنثوس ثانية,2,34,"الإصحاح الثاني
كورنثوس ثانية,2,35,"الإصحاح الثاني
كورنثوس ثانية,2,36,"الإصحاح الثاني
كورنثوس ثانية,2,37,"الإصحاح الثاني
كورنثوس ثانية,2,38,"الإصحاح الثاني
كورنثوس ثانية,2,39,"الإصحاح الثاني
كورنثوس ثانية,2,40,"الإصحاح الثاني
كورنثوس ثانية,2,41,"الإصحاح الثاني
كورنثوس ثانية,2,42,"الإصحاح الثاني
كورنثوس ثانية,2,43,"الإصحاح الثاني
كورنثوس ثانية,2,44,"الإصحاح الثاني
كورنثوس ثانية,2,45,"الإصحاح الثاني
كورنثوس ثانية,2,46,"الإصحاح الثاني
كورنثوس ثانية,2,47,"الإصحاح الثاني
كورنثوس ثانية,2,48,"الإصحاح الثاني
كورنثوس ثانية,2,49,"الإصحاح الثاني
كورنثوس ثانية,2,50,"الإصحاح الثاني
كورنثوس ثانية,2,51,"الإصحاح الثاني
كورنثوس ثانية,2,52,"الإصحاح الثاني
كورنثوس ثانية,2,53,"الإصحاح الثاني
كورنثوس ثانية,2,54,"الإصحاح الثاني
كورنثوس ثانية,2,55,"الإصحاح الثاني
كورنثوس ثانية,2,56,"الإصحاح الثاني
كورنثوس ثانية,2,57,"الإصحاح الثاني
كورنثوس ثانية,2,58,"الإصحاح الثاني
كورنثوس ثانية,2,59,"الإصحاح الثاني
كورنثوس ثانية,2,60,"الإصحاح الثاني
كورنثوس ثانية,2,61,"الإصحاح الثاني
كورنثوس ثانية,2,62,"الإصحاح الثاني
كورنثوس ثانية,2,63,"الإصحاح الثاني
كورنثوس ثانية,2,64,"الإصحاح الثاني
كورنثوس ثانية,2,65,"الإصحاح الثاني
كورنثوس ثانية,2,66,"الإصحاح الثاني
كورنثوس ثانية,2,67,"الإصحاح الثاني
كورنثوس ثانية,2,68,"الإصحاح الثاني
كورنثوس ثانية,2,69,"الإصحاح الثاني
كورنثوس ثانية,2,70,"الإصحاح الثاني
كورنثوس ثانية,2,71,"الإصحاح الثاني
كورنثوس ثانية,2,72,"الإصحاح الثاني
كورنثوس ثانية,2,73,"الإصحاح الثاني
كورنثوس ثانية,2,74,"الإصحاح الثاني
كورنثوس ثانية,2,75,"الإصحاح الثاني
كورنثوس ثانية,2,76,"الإصحاح الثاني
كورنثوس ثانية,2,77,"الإصحاح الثاني
كورنثوس ثانية,2,78,"الإصحاح الثاني
كورنثوس ثانية,2,79,"الإصحاح الثاني
كورنثوس ثانية,2,80,"الإصحاح الثاني
كورنثوس ثانية,2,81,"الإصحاح الثاني
كورنثوس ثانية,2,82,"الإصحاح الثاني
كورنثوس ثانية,2,83,"الإصحاح الثاني
كورنثوس ثانية,2,84,"الإصحاح الثاني
كورنثوس ثانية,2,85,"الإصحاح الثاني
كورنثوس ثانية,2,86,"الإصحاح الثاني
كورنثوس ثانية,2,87,"الإصحاح الثاني
كورنثوس ثانية,2,88,"الإصحاح الثاني
كورنثوس ثانية,2,89,"الإصحاح الثاني
كورنثوس ثانية,2,90,"الإصحاح الثاني
كورنثوس ثانية,2,91,"الإصحاح الثاني
كورنثوس ثانية,2,92,"الإصحاح الثاني
كورنثوس ثانية,2,93,"الإصحاح الثاني
كورنثوس ثانية,2,94,"الإصحاح الثاني
كورنثوس ثانية,2,95,"الإصحاح الثاني
كورنثوس ثانية,2,96,"الإصحاح الثاني
كورنثوس ثانية,2,97,"الإصحاح الثاني
كورنثوس ثانية,2,98,"الإصحاح الثاني
كورنثوس ثانية,2,99,"الإصحاح الثاني
كورنثوس ثانية,3,1,"الإصحاح الثالث
كورنثوس ثانية,3,2,"الإصحاح الثالث
كورنثوس ثانية,3,3,"الإصحاح الثالث
كورنثوس ثانية,3,4,"الإصحاح الثالث
كورنثوس ثانية,3,5,"الإصحاح الثالث
كورنثوس ثانية,3,6,"الإصحاح الثالث
كورنثوس ثانية,3,7,"الإصحاح الثالث
كورنثوس ثانية,3,8,"الإصحاح الثالث
كورنثوس ثانية,3,9,"الإصحاح الثالث
كورنثوس ثانية,3,10,"الإصحاح الثالث
كورنثوس ثانية,3,11,"الإصحاح الثالث
كورنثوس ثانية,3,12,"الإصحاح الثالث
كورنثوس ثانية,3,13,"الإصحاح الثالث
كورنثوس ثانية,3,14,"الإصحاح الثالث
كورنثوس ثانية,3,15,"الإصحاح الثالث
كورنثوس ثانية,3,16,"الإصحاح الثالث
كورنثوس ثانية,3,17,"الإصحاح الثالث
كورنثوس ثانية,3,18,"الإصحاح الثالث
كورنثوس ثانية,3,19,"الإصحاح الثالث
كورنثوس ثانية,3,20,"الإصحاح الثالث
كورنثوس ثانية,3,21,"الإصحاح الثالث
كورنثوس ثانية,3,22,"الإصحاح الثالث
كورنثوس ثانية,3,23,"الإصحاح الثالث
كورنثوس ثانية,3,24,"الإصحاح الثالث
كورنثوس ثانية,3,25,"الإصحاح الثالث
كورنثوس ثانية,3,26,"الإصحاح الثالث
كورنثوس ثانية,3,27,"الإصحاح الثالث
كورنثوس ثانية,3,28,"الإصحاح الثالث
كورنثوس ثانية,3,29,"الإصحاح الثالث
كورنثوس ثانية,3,30,"الإصحاح الثالث
كورنثوس ثانية,3,31,"الإصحاح الثالث
كورنثوس ثانية,3,32,"الإصحاح الثالث
كورنثوس ثانية,3,33,"الإصحاح الثالث
كورنثوس ثانية,3,34,"الإصحاح الثالث
كورنثوس ثانية,3,35,"الإصحاح الثالث
كورنثوس ثانية,3,36,"الإصحاح الثالث
كورنثوس ثانية,3,37,"الإصحاح الثالث
كورنثوس ثانية,3,38,"الإصحاح الثالث
كورنثوس ثانية,3,39,"الإصحاح الثالث
كورنثوس ثانية,3,40,"الإصحاح الثالث
كورنثوس ثانية,3,41,"الإصحاح الثالث
كورنثوس ثانية,3,42,"الإصحاح الثالث
كورنثوس ثانية,3,43,"الإصحاح الثالث
كورنثوس ثانية,3,44,"الإصحاح الثالث
كورنثوس ثانية,3,45,"الإصحاح الثالث
كورنثوس ثانية,3,46,"الإصحاح الثالث
كورنثوس ثانية,3,47,"الإصحاح الثالث
كورنثوس ثانية,3,48,"الإصحاح الثالث
كورنثوس ثانية,3,49,"الإصحاح الثالث
كورنثوس ثانية,3,50,"الإصحاح الثالث
كورنثوس ثانية,3,51,"الإصحاح الثالث
كورنثوس ثانية,3,52,"الإصحاح الثالث
كورنثوس ثانية,3,53,"الإصحاح الثالث
كورنثوس ثانية,3,54,"الإصحاح الثالث
كورنثوس ثانية,3,55,"الإصحاح الثالث
كورنثوس ثانية,3,56,"الإصحاح الثالث
كورنثوس ثانية,3,57,"الإصحاح الثالث
كورنثوس ثانية,3,58,"الإصحاح الثالث
كورنثوس ثانية,3,59,"الإصحاح الثالث
كورنثوس ثانية,3,60,"الإصحاح الثالث
كورنثوس ثانية,3,61,"الإصحاح الثالث
كورنثوس ثانية,3,62,"الإصحاح الثالث
كورنثوس ثانية,3,63,"الإصحاح الثالث
كورنثوس ثانية,3,64,"الإصحاح الثالث
كورنثوس ثانية,3,65,"الإصحاح الثالث
كورنثوس ثانية,3,66,"الإصحاح الثالث
كورنثوس ثانية,3,67,"الإصحاح الثالث
كورنثوس ثانية,3,68,"الإصحاح الثالث
كورنثوس ثانية,3,69,"الإصحاح الثالث
كورنثوس ثانية,3,70,"الإصحاح الثالث
كورنثوس ثانية,3,71,"الإصحاح الثالث
كورنثوس ثانية,3,72,"الإصحاح الثالث
كورنثوس ثانية,3,73,"الإصحاح الثالث
كورنثوس ثانية,3,74,"الإصحاح الثالث
كورنثوس ثانية,3,75,"الإصحاح الثالث
كورنثوس ثانية,3,76,"الإصحاح الثالث
كورنثوس ثانية,3,77,"الإصحاح الثالث
كورنثوس ثانية,3,78,"الإصحاح الثالث
كورنثوس ثانية,3,79,"الإصحاح الثالث
كورنثوس ثانية,3,80,"الإصحاح الثالث
كورنثوس ثانية,3,81,"الإصحاح الثالث
كورنثوس ثانية,3,82,"الإصحاح الثالث
