book,chapter,verse,tafsir
ملوك ثاني,1,1,"الإصحاح الأول
ملوك ثاني,1,2,"الإصحاح الأول
ملوك ثاني,1,3,"الإصحاح الأول
ملوك ثاني,1,4,"الإصحاح الأول
ملوك ثاني,1,5,"الإصحاح الأول
ملوك ثاني,1,6,"الإصحاح الأول
ملوك ثاني,1,7,"الإصحاح الأول
ملوك ثاني,1,8,"الإصحاح الأول
ملوك ثاني,1,9,"الإصحاح الأول
ملوك ثاني,1,10,"الإصحاح الأول
ملوك ثاني,1,11,"الإصحاح الأول
ملوك ثاني,1,12,"الإصحاح الأول
ملوك ثاني,1,13,"الإصحاح الأول
ملوك ثاني,1,14,"الإصحاح الأول
ملوك ثاني,1,15,"الإصحاح الأول
ملوك ثاني,1,16,"الإصحاح الأول
ملوك ثاني,1,17,"الإصحاح الأول
ملوك ثاني,1,18,"الإصحاح الأول
ملوك ثاني,1,19,"الإصحاح الأول
ملوك ثاني,1,20,"الإصحاح الأول
ملوك ثاني,1,21,"الإصحاح الأول
ملوك ثاني,1,22,"الإصحاح الأول
ملوك ثاني,1,23,"الإصحاح الأول
ملوك ثاني,1,24,"الإصحاح الأول
ملوك ثاني,1,25,"الإصحاح الأول
ملوك ثاني,1,26,"الإصحاح الأول
ملوك ثاني,1,27,"الإصحاح الأول
ملوك ثاني,1,28,"الإصحاح الأول
ملوك ثاني,1,29,"الإصحاح الأول
ملوك ثاني,1,30,"الإصحاح الأول
ملوك ثاني,1,31,"الإصحاح الأول
ملوك ثاني,1,32,"الإصحاح الأول
ملوك ثاني,1,33,"الإصحاح الأول
ملوك ثاني,1,34,"الإصحاح الأول
ملوك ثاني,1,35,"الإصحاح الأول
ملوك ثاني,1,36,"الإصحاح الأول
ملوك ثاني,1,37,"الإصحاح الأول
ملوك ثاني,1,38,"الإصحاح الأول
ملوك ثاني,1,39,"الإصحاح الأول
ملوك ثاني,1,40,"الإصحاح الأول
ملوك ثاني,1,41,"الإصحاح الأول
ملوك ثاني,1,42,"الإصحاح الأول
ملوك ثاني,1,43,"الإصحاح الأول
ملوك ثاني,1,44,"الإصحاح الأول
ملوك ثاني,1,45,"الإصحاح الأول
ملوك ثاني,1,46,"الإصحاح الأول
ملوك ثاني,1,47,"الإصحاح الأول
ملوك ثاني,1,48,"الإصحاح الأول
ملوك ثاني,1,49,"الإصحاح الأول
ملوك ثاني,1,50,"الإصحاح الأول
ملوك ثاني,1,51,"الإصحاح الأول
ملوك ثاني,1,52,"الإصحاح الأول
ملوك ثاني,1,53,"الإصحاح الأول
ملوك ثاني,1,54,"الإصحاح الأول
ملوك ثاني,1,55,"الإصحاح الأول
ملوك ثاني,1,56,"الإصحاح الأول
ملوك ثاني,1,57,"الإصحاح الأول
ملوك ثاني,1,58,"الإصحاح الأول
ملوك ثاني,1,59,"الإصحاح الأول
ملوك ثاني,1,60,"الإصحاح الأول
ملوك ثاني,1,61,"الإصحاح الأول
ملوك ثاني,1,62,"الإصحاح الأول
ملوك ثاني,1,63,"الإصحاح الأول
ملوك ثاني,1,64,"الإصحاح الأول
ملوك ثاني,1,65,"الإصحاح الأول
ملوك ثاني,1,66,"الإصحاح الأول
ملوك ثاني,1,67,"الإصحاح الأول
ملوك ثاني,1,68,"الإصحاح الأول
ملوك ثاني,1,69,"الإصحاح الأول
ملوك ثاني,1,70,"الإصحاح الأول
ملوك ثاني,1,71,"الإصحاح الأول
ملوك ثاني,1,72,"الإصحاح الأول
ملوك ثاني,1,73,"الإصحاح الأول
ملوك ثاني,1,74,"الإصحاح الأول
ملوك ثاني,1,75,"الإصحاح الأول
ملوك ثاني,1,76,"الإصحاح الأول
ملوك ثاني,1,77,"الإصحاح الأول
ملوك ثاني,1,78,"الإصحاح الأول
ملوك ثاني,1,79,"الإصحاح الأول
ملوك ثاني,1,80,"الإصحاح الأول
ملوك ثاني,1,81,"الإصحاح الأول
ملوك ثاني,1,82,"الإصحاح الأول
ملوك ثاني,1,83,"الإصحاح الأول
ملوك ثاني,1,84,"الإصحاح الأول
ملوك ثاني,1,85,"الإصحاح الأول
ملوك ثاني,1,86,"الإصحاح الأول
ملوك ثاني,1,87,"الإصحاح الأول
ملوك ثاني,1,88,"الإصحاح الأول
ملوك ثاني,1,89,"الإصحاح الأول
ملوك ثاني,1,90,"الإصحاح الأول
ملوك ثاني,1,91,"الإصحاح الأول
ملوك ثاني,1,92,"الإصحاح الأول
ملوك ثاني,1,93,"الإصحاح الأول
ملوك ثاني,1,94,"الإصحاح الأول
ملوك ثاني,1,95,"الإصحاح الأول
ملوك ثاني,1,96,"الإصحاح الأول
ملوك ثاني,1,97,"الإصحاح الأول
ملوك ثاني,1,98,"الإصحاح الأول
ملوك ثاني,1,99,"الإصحاح الأول
ملوك ثاني,2,1,"الإصحاح الثانى
ملوك ثاني,2,2,"الإصحاح الثانى
ملوك ثاني,2,3,"الإصحاح الثانى
ملوك ثاني,2,4,"الإصحاح الثانى
ملوك ثاني,2,5,"الإصحاح الثانى
ملوك ثاني,2,6,"الإصحاح الثانى
ملوك ثاني,2,7,"الإصحاح الثانى
ملوك ثاني,2,8,"الإصحاح الثانى
ملوك ثاني,2,9,"الإصحاح الثانى
ملوك ثاني,2,10,"الإصحاح الثانى
ملوك ثاني,2,11,"الإصحاح الثانى
ملوك ثاني,2,12,"الإصحاح الثانى
ملوك ثاني,2,13,"الإصحاح الثانى
ملوك ثاني,2,14,"الإصحاح الثانى
ملوك ثاني,2,15,"الإصحاح الثانى
ملوك ثاني,2,16,"الإصحاح الثانى
ملوك ثاني,2,17,"الإصحاح الثانى
ملوك ثاني,2,18,"الإصحاح الثانى
ملوك ثاني,2,19,"الإصحاح الثانى
ملوك ثاني,2,20,"الإصحاح الثانى
ملوك ثاني,2,21,"الإصحاح الثانى
ملوك ثاني,2,22,"الإصحاح الثانى
ملوك ثاني,2,23,"الإصحاح الثانى
ملوك ثاني,2,24,"الإصحاح الثانى
ملوك ثاني,2,25,"الإصحاح الثانى
ملوك ثاني,2,26,"الإصحاح الثانى
ملوك ثاني,2,27,"الإصحاح الثانى
ملوك ثاني,2,28,"الإصحاح الثانى
ملوك ثاني,2,29,"الإصحاح الثانى
ملوك ثاني,2,30,"الإصحاح الثانى
ملوك ثاني,2,31,"الإصحاح الثانى
ملوك ثاني,2,32,"الإصحاح الثانى
ملوك ثاني,2,33,"الإصحاح الثانى
ملوك ثاني,2,34,"الإصحاح الثانى
ملوك ثاني,2,35,"الإصحاح الثانى
ملوك ثاني,2,36,"الإصحاح الثانى
ملوك ثاني,2,37,"الإصحاح الثانى
ملوك ثاني,2,38,"الإصحاح الثانى
ملوك ثاني,2,39,"الإصحاح الثانى
ملوك ثاني,2,40,"الإصحاح الثانى
ملوك ثاني,2,41,"الإصحاح الثانى
ملوك ثاني,2,42,"الإصحاح الثانى
ملوك ثاني,2,43,"الإصحاح الثانى
ملوك ثاني,2,44,"الإصحاح الثانى
ملوك ثاني,2,45,"الإصحاح الثانى
